iteration,recursive_relative,true_relative,pAp,seconds
128,2.4268060333973337e-10,2.4268071480610531e-10,3.0065260815460723e-18,0.27941465700000001
130,7.1841344002047512e-11,7.1841358163035492e-11,1.3861088873117185e-19,0.28579485100000002
