stage,scene,cell,arm,rep,hit,cost,target,target_seconds,native_seconds,score_init,outers,rejects,matvecs,pcg_per_outer,retry_fraction_native,max_touched_fraction,source
tails,venice-52,venice-52,cap30,3,False,249542.42169296768,243740.27,,1.22723,11152062.772762468,116,4,337,1.8706896551724137,0.032719668684761616,0.057692307692307696,evidence/tails/venice-52-cap30-3
tails,venice-52,venice-52,opening,3,True,243381.9949025939,243740.27,0.3125,0.330154,11152062.772762468,21,1,159,6.523809523809524,0.030310897338817644,0,evidence/tails/venice-52-opening-3
tails,venice-52,venice-52,off,3,False,246341.9210838458,243740.27,,1.534363,11152062.772762472,99,6,751,6.525252525252525,0.027628104301263785,0,evidence/tails/venice-52-off-3
tails,final-3068,final-3068,intrinsic,3,False,2489527.193932065,1744796.9841897595,,22.408871,90993342.02434024,64,13,5951,92.46875,0.15283369019349524,0.3344198174706649,evidence/tails/final-3068-intrinsic-3
tails,final-3068,final-3068,cap30,3,False,1768443.4791962523,1744796.9841897595,,22.229213,90993342.02434023,417,3,1297,2.1031175059952036,0.0046043523898034525,0.08507170795306389,evidence/tails/final-3068-cap30-3
tails,final-3068,final-3068,opening,3,True,1739377.583035243,1744796.9841897595,4.7428,4.765972,90993342.02434024,82,9,361,3.292682926829268,0.08449030879744993,0,evidence/tails/final-3068-opening-3
tails,final-3068,final-3068,off,3,True,1740585.9937494516,1744796.9841897595,3.6765,3.701284,90993342.02434023,61,5,312,4.032786885245901,0.054547761263388596,0,evidence/tails/final-3068-off-3
tails,venice-52,venice-52,off,4,False,247558.22991132445,243740.27,,1.339034,11152062.772762472,128,7,349,1.671875,0.03164777817441529,0,evidence/tails/venice-52-off-4
tails,venice-52,venice-52,opening,4,True,243381.99314288283,243740.27,0.313,0.330771,11152062.772762472,21,1,159,6.523809523809524,0.03029880189012943,0,evidence/tails/venice-52-opening-4
tails,venice-52,venice-52,cap30,4,False,250581.31593376785,243740.27,,0.693192,11152062.772762472,52,10,218,3.0,0.10933756881210402,0.057692307692307696,evidence/tails/venice-52-cap30-4
tails,venice-52,venice-52,intrinsic,4,False,497951.9492004057,243740.27,,1.847361,11152062.772762472,33,2,1360,40.18181818181818,0.09291191164044278,0.38461538461538464,evidence/tails/venice-52-intrinsic-4
tails,final-3068,final-3068,off,4,True,1741124.962023776,1744796.9841897595,3.3284,3.35298,90993342.02434023,55,1,341,5.181818181818182,0.02499996152676127,0,evidence/tails/final-3068-off-4
tails,final-3068,final-3068,opening,4,True,1741597.2680465698,1744796.9841897595,3.434,3.484224,90993342.02434023,68,2,268,2.911764705882353,0.02556039221358902,0,evidence/tails/final-3068-opening-4
tails,final-3068,final-3068,cap30,4,False,1764957.8155780195,1744796.9841897595,,19.903539,90993342.02434023,437,0,1312,2.002288329519451,0.0020301299181014996,0.08702737940026076,evidence/tails/final-3068-cap30-4
tails,final-3068,final-3068,intrinsic,4,False,2525043.945635347,1744796.9841897595,,60.010438,90993342.02434023,140,1,17906,127.87142857142857,0.013922152709500302,0.33735332464146023,evidence/tails/final-3068-intrinsic-4
