arm,rep,cost,prediction,decrease,rho,camera_norm,pcg_iterations,true_residual,certified,seconds,reason
eta2,0,1831858.8176358372,0.341871481272501,0.20035071135498583,0.58604101930131181,0.0010563338981545865,1,5.0805166499769613e-09,0,0,native_inexact
exact,0,1832077.7750665008,13.363165336701487,-218.75707995216362,-16.370154408802726,0.04151401676432985,2,4.9617523301007537e-16,1,0.057789860999999998,true_residual
exact_clip,0,1831858.8176358375,0.34187148127255595,0.20035071112215519,0.58604101862017033,0.0010563338981545876,2,4.9617523301007537e-16,1,0.057789860999999998,true_residual
exact,1,1832077.7750665008,13.363165336701488,-218.75707995216362,-16.370154408802726,0.04151401676432985,2,4.9617523301007537e-16,1,0.036016514999999999,true_residual
exact_clip,1,1831858.8176358375,0.34187148127255595,0.20035071112215519,0.58604101862017033,0.0010563338981545876,2,4.9617523301007537e-16,1,0.036016514999999999,true_residual
exact,2,1832077.7750665012,13.363165336701487,-218.75707995262928,-16.370154408837575,0.04151401676432985,2,4.9617523301007537e-16,1,0.036023905000000002,true_residual
exact_clip,2,1831858.8176358375,0.3418714812725559,0.20035071112215519,0.58604101862017044,0.0010563338981545876,2,4.9617523301007537e-16,1,0.036023905000000002,true_residual
