arm,rep,cost,prediction,decrease,rho,camera_norm,pcg_iterations,true_residual,certified,seconds,reason
eta2,0,2054200.9555377385,7658461.7553554587,6115573.8532158565,0.79853814624579389,2333.9840404075235,5,0.105881452767876,0,0,native_inexact
exact,0,2002780.5044970133,7662720.7107347669,6166994.3042565817,0.80480478632311236,2495.409927165616,79,9.555966096196901e-11,1,0.23592253499999999,true_residual
exact_clip,0,2002780.5044970135,7662720.7107347678,6166994.3042565808,0.80480478632311214,2495.409927165616,79,9.555966096196901e-11,1,0.23592253499999999,true_residual
exact,1,2002780.5044970135,7662720.7107347688,6166994.3042565808,0.80480478632311203,2495.409927165616,79,9.555966096196901e-11,1,0.22809735,true_residual
exact_clip,1,2002780.5044970133,7662720.710734766,6166994.3042565817,0.80480478632311248,2495.409927165616,79,9.555966096196901e-11,1,0.22809735,true_residual
exact,2,2002780.5044970133,7662720.7107347688,6166994.3042565817,0.80480478632311214,2495.409927165616,79,9.555966096196901e-11,1,0.22795878999999999,true_residual
exact_clip,2,2002780.5044970135,7662720.7107347678,6166994.3042565808,0.80480478632311214,2495.409927165616,79,9.555966096196901e-11,1,0.22795878999999999,true_residual
