capture_rep,rep,status,arm,score_init,raw_cost,accepted_cost,true_decrease,accepted_decrease,prediction,rho,accepted,full_D_norm,camera_E_norm,camera_norm_over_old_radius,lambda_value,sigma,quadratic_model_with_intrinsic_prior,intrinsic_prior_quadratic,cubic_model,full_stationarity_relative_residual,full_stationarity_absolute_norm,verification_full_products,verification_product_seconds,invalid_initial_projections,invalid_projections,direction_sha256,scoring_and_verification_seconds,shared_setup_seconds,arm_incremental_seconds,standalone_cpu_seconds,accepted_decrease_per_standalone_cpu_second
0,0,ok,lm,246359.02458229894,246344.8288059241,246344.8288059241,14.195776374835987,14.195776374835987,14.23222677303845,0.9974388829812975,True,384.63236044827,283.33085202177983,0.04392246183142281,8.923524855210429e-07,,-14.232212074276681,1.469876367238205e-05,,0.7680683258853696,0.7949842146627412,1,0.034750199876725674,0,0,9693e70ff9890fa89c27b857dcd0e927e45e0ddf60ac37002a50223ff3eda428,0.18680316396057606,7.8153073149733245,0.1869998942129314,8.002307209186256,1.7739604346281448
0,0,ok,arc,246359.02458229894,246344.8287827827,246344.8287827827,14.19579951625201,14.19579951625201,14.232464340812234,0.9974238597278556,True,385.55537157546394,284.0099530128524,0.04402773729700385,4.4451997832689287e-07,1.1529342115257948e-09,-14.232449571812074,1.4769002058108472e-05,-14.210423170582107,0.7700156933671324,0.7969998249359085,1,0.034226308576762676,0,0,dec5120a3bef4d1bb231063ed2af387fe7a9763ae8191195026f66831ac503c1,0.1858713640831411,7.8153073149733245,0.18671303475275636,8.002020349726081,1.7740269201812202
0,1,ok,arc,246359.02458229894,246344.8287827827,246344.8287827827,14.19579951625201,14.19579951625201,14.232464340812234,0.9974238597278556,True,385.55537157546394,284.0099530128524,0.04402773729700385,4.4451997832689287e-07,1.1529342115257948e-09,-14.232449571812074,1.4769002058108472e-05,-14.210423170582107,0.7700156933671324,0.7969998249359085,1,0.0344655797816813,0,0,dec5120a3bef4d1bb231063ed2af387fe7a9763ae8191195026f66831ac503c1,0.18438488291576505,3.179065326228738,0.1851667738519609,3.3642321000806987,4.219625487763312
0,1,ok,lm,246359.02458229894,246344.8288059241,246344.8288059241,14.195776374835987,14.195776374835987,14.23222677303845,0.9974388829812975,True,384.63236044827,283.33085202177983,0.04392246183142281,8.923524855210429e-07,,-14.232212074276681,1.469876367238205e-05,,0.7680683258853696,0.7949842146627412,1,0.03447743924334645,0,0,9693e70ff9890fa89c27b857dcd0e927e45e0ddf60ac37002a50223ff3eda428,0.18421627301722765,3.179065326228738,0.184352473821491,3.363417800050229,4.2206401995684235
0,2,ok,lm,246359.02458229894,246344.8288059241,246344.8288059241,14.195776374835987,14.195776374835987,14.23222677303845,0.9974388829812975,True,384.63236044827,283.33085202177983,0.04392246183142281,8.923524855210429e-07,,-14.232212074276681,1.469876367238205e-05,,0.7680683258853696,0.7949842146627412,1,0.03447919012978673,0,0,9693e70ff9890fa89c27b857dcd0e927e45e0ddf60ac37002a50223ff3eda428,0.1868042149581015,3.1856896891258657,0.18695060489699244,3.372640294022858,4.209098847568882
0,2,ok,arc,246359.02458229894,246344.8287827827,246344.8287827827,14.19579951625201,14.19579951625201,14.232464340812234,0.9974238597278556,True,385.55537157546394,284.0099530128524,0.04402773729700385,4.4451997832689287e-07,1.1529342115257948e-09,-14.232449571812074,1.4769002058108472e-05,-14.210423170582107,0.7700156933671324,0.7969998249359085,1,0.03460913896560669,0,0,dec5120a3bef4d1bb231063ed2af387fe7a9763ae8191195026f66831ac503c1,0.18474791292101145,3.1856896891258657,0.1854894831776619,3.3711791723035276,4.210930001252949
1,0,ok,lm,244946.83905292646,244946.78826668143,244946.78826668143,0.05078624503221363,0.05078624503221363,0.050727422984230296,1.0011595709878978,True,4.436450462017304,4.141261064620964,0.010271772650062941,4.458387347826933e-08,,-0.05072741790269075,5.08147058518088e-09,,0.03511686826973023,0.017823262587522454,1,0.03440726920962334,0,0,6ac58f2813452404da0863c0398673fe26709cb15fbd687ebe0f28afa7a3652b,0.18763752514496446,3.1951647149398923,0.18779686512425542,3.3829615800641477,0.015012362342953544
1,0,ok,arc,244946.83905292646,244946.78826667715,244946.78826667715,0.050786249310476705,0.050786249310476705,0.05072742300673803,1.0011596548819535,True,4.436671152437343,4.1414700221201315,0.010272290937582487,3.656712083272067e-10,8.242017399155691e-11,-0.05072741792469584,5.0819736949273285e-09,-0.050727415525398944,0.035119027778167666,0.017824358627341406,1,0.03453682968392968,0,0,029f06c62d9d67f2dd663ea152f161381fcf4ecfd85719c303be86833e7f97a4,0.18668985413387418,3.1951647149398923,0.18741499399766326,3.3825797089375556,0.015014058405272084
1,1,ok,arc,244946.83905292646,244946.78826667715,244946.78826667715,0.050786249310476705,0.050786249310476705,0.05072742300673803,1.0011596548819535,True,4.436671152437343,4.1414700221201315,0.010272290937582487,3.656712083272067e-10,8.242017399155691e-11,-0.05072741792469584,5.0819736949273285e-09,-0.050727415525398944,0.035119027778167666,0.017824358627341406,1,0.03398288879543543,0,0,029f06c62d9d67f2dd663ea152f161381fcf4ecfd85719c303be86833e7f97a4,0.1861262838356197,3.153104931116104,0.18694480415433645,3.3400497352704406,0.015205237447269506
1,1,ok,lm,244946.83905292646,244946.78826668143,244946.78826668143,0.05078624503221363,0.05078624503221363,0.050727422984230296,1.0011595709878978,True,4.436450462017304,4.141261064620964,0.010271772650062941,4.458387347826933e-08,,-0.05072741790269075,5.08147058518088e-09,,0.03511686826973023,0.017823262587522454,1,0.0342735992744565,0,0,6ac58f2813452404da0863c0398673fe26709cb15fbd687ebe0f28afa7a3652b,0.18657868402078748,3.153104931116104,0.18671508505940437,3.3398200161755085,0.015206282011079724
