accepted,arm,cap_hit,cheirality_obs,final_cost,handover_outer,handover_reason,hit,hybrid_failures,hybrid_open,hybrid_products,hybrid_seconds,hybrid_sweeps,matvecs,median_reproj_px,native_seconds,outers,process_seconds,rejects,rep,scene,source,stage,stop_reason,target,target_seconds
35,champion,False,11,248730.0189562806,,,True,,,,,,118,0.366921,0.407054,35,1.0176263321191072,1,2,venice-52,evidence/small/venice-52-champion-2,small,target,248785.17234380785,0.404165006
35,champion,False,11,248729.9826472932,,,True,,,,,,118,0.36692,0.403,35,1.0171984117478132,1,3,venice-52,evidence/small/venice-52-champion-3,small,target,248785.17234380785,0.400101932
35,champion,False,11,248729.9935151117,,,True,,,,,,118,0.366921,0.403513,35,1.0171995908021927,1,4,venice-52,evidence/small/venice-52-champion-4,small,target,248785.17234380785,0.400591562
35,champion,False,11,248729.9685980733,,,True,,,,,,118,0.366921,0.403344,35,0.9668963276781142,1,5,venice-52,evidence/small/venice-52-champion-5,small,target,248785.17234380785,0.400290401
35,champion,False,11,248729.9497777769,,,True,,,,,,118,0.366921,0.403481,35,0.9669960187748075,1,6,venice-52,evidence/small/venice-52-champion-6,small,target,248785.17234380785,0.400577761
35,champion,False,11,248729.9635162612,,,True,,,,,,118,0.366921,0.403176,35,0.9667260781861842,1,7,venice-52,evidence/small/venice-52-champion-7,small,target,248785.17234380785,0.400218141
35,champion,False,11,248730.0026815897,,,True,,,,,,118,0.366921,0.403781,35,0.9666214077733457,1,8,venice-52,evidence/small/venice-52-champion-8,small,target,248785.17234380785,0.400833292
35,champion,False,11,248729.9768246875,,,True,,,,,,118,0.36692,0.403575,35,1.0169099010527134,1,9,venice-52,evidence/small/venice-52-champion-9,small,target,248785.17234380785,0.400622291
311,menu_feedback,False,14,255524.2495726778,8,opening_cap,False,0,False,692,0.658994329,8,2177,0.372422,4.463851,311,5.028090615291148,37,0,venice-52,evidence/small/venice-52-menu_feedback-0,small,ftol,248785.17234380785,
61,menu_feedback,False,22,256869.3963950557,8,opening_cap,False,0,False,692,0.655305158,8,841,0.376664,1.28886,61,1.8687729751691222,0,1,venice-52,evidence/small/venice-52-menu_feedback-1,small,ftol,248785.17234380785,
86,menu_feedback,False,16,255108.5602808107,8,opening_cap,False,0,False,685,0.651220824,8,950,0.372421,1.565808,86,2.1704249498434365,4,2,venice-52,evidence/small/venice-52-menu_feedback-2,small,ftol,248785.17234380785,
61,menu_feedback,False,22,256864.8217797533,8,opening_cap,False,0,False,692,0.651509675,8,841,0.376671,1.295374,61,1.8690031678415835,0,3,venice-52,evidence/small/venice-52-menu_feedback-3,small,ftol,248785.17234380785,
304,menu_feedback,False,8,255472.015028198,8,opening_cap,False,0,False,692,0.654716577,8,1851,0.372247,4.103897,304,4.727537804283202,36,4,venice-52,evidence/small/venice-52-menu_feedback-4,small,ftol,248785.17234380785,
172,menu_feedback,False,14,255466.828518695,8,opening_cap,False,0,False,692,0.654924487,8,1256,0.372195,2.52211,172,3.1225492861121893,2,5,venice-52,evidence/small/venice-52-menu_feedback-5,small,ftol,248785.17234380785,
36,menu_feedback,False,6,246439.8632232157,8,opening_cap,True,0,False,686,0.649406626,8,808,0.365612,1.096305,36,1.718220328912139,0,6,venice-52,evidence/small/venice-52-menu_feedback-6,small,target,248785.17234380785,1.093378036
121,menu_feedback,False,12,255303.0168211781,8,opening_cap,False,0,False,692,0.655390846,8,1321,0.371567,2.186199,121,2.82167912973091,1,7,venice-52,evidence/small/venice-52-menu_feedback-7,small,ftol,248785.17234380785,
61,menu_feedback,False,22,256871.0265642188,8,opening_cap,False,0,False,692,0.654841907,8,841,0.376683,1.288487,61,1.8692960878834128,0,8,venice-52,evidence/small/venice-52-menu_feedback-8,small,ftol,248785.17234380785,
68,menu_feedback,False,18,258404.5680794195,8,opening_cap,False,0,False,692,0.655192829,8,852,0.386282,1.358561,68,1.9693124131299555,3,9,venice-52,evidence/small/venice-52-menu_feedback-9,small,ftol,248785.17234380785,
33,shared_center,False,14,248691.4632406629,8,opening_cap,True,0,False,668,0.620972878,8,746,0.375198,0.987244,33,1.5684396903961897,1,0,venice-52,evidence/small/venice-52-shared_center-0,small,target,248785.17234380785,0.984413077
34,shared_center,False,14,248663.9966560532,8,opening_cap,True,0,False,687,0.641217381,8,765,0.375157,0.99124,34,1.5681084590032697,0,1,venice-52,evidence/small/venice-52-shared_center-1,small,target,248785.17234380785,0.988421728
33,shared_center,False,14,248693.4079440466,8,opening_cap,True,0,False,666,0.61746781,8,744,0.375196,0.960654,33,1.6187843228690326,1,2,venice-52,evidence/small/venice-52-shared_center-2,small,target,248785.17234380785,0.957749913
266,shared_menu,False,24,260735.9938402191,8,opening_cap,False,0,False,668,0.637105716,8,1358,0.375199,3.326888,266,3.9250628198496997,10,0,venice-52,evidence/small/venice-52-shared_menu-0,small,ftol,248785.17234380785,
278,shared_menu,False,18,260740.7642046383,8,opening_cap,False,0,False,668,0.653046486,8,1550,0.375201,3.645858,278,4.2227916843257844,8,1,venice-52,evidence/small/venice-52-shared_menu-1,small,ftol,248785.17234380785,
148,shared_menu,False,28,261486.8187427125,8,opening_cap,False,0,False,667,0.635569629,8,1030,0.376676,2.098194,148,2.6735118641518056,1,2,venice-52,evidence/small/venice-52-shared_menu-2,small,ftol,248785.17234380785,
