accepted,arm,cap_hit,cheirality_obs,final_cost,handover_outer,handover_reason,hit,hybrid_failures,hybrid_open,hybrid_products,hybrid_seconds,hybrid_sweeps,matvecs,median_reproj_px,native_seconds,outers,process_seconds,rejects,rep,scene,source,stage,stop_reason,target,target_seconds
69,champion,False,763,1820941.2563658021,,,False,,,,,,299,0.552467,3.950981,69,5.379054164048284,12,0,final-3068,evidence/large/final-3068-champion-0,large,ftol,1672694.8052276426,
95,champion,False,795,1671474.480217179,,,True,,,,,,1033,0.532723,6.905849,95,8.2846250096336,8,1,final-3068,evidence/large/final-3068-champion-1,large,target,1672694.8052276426,6.897779159
45,champion,False,761,1878631.7912482475,,,False,,,,,,175,0.5605,2.713313,45,4.1238368432968855,14,2,final-3068,evidence/large/final-3068-champion-2,large,ftol,1672694.8052276426,
82,champion,False,838,1671823.275399963,,,True,,,,,,1107,0.532856,6.557496,82,7.9828796912916005,4,3,final-3068,evidence/large/final-3068-champion-3,large,target,1672694.8052276426,6.549442011
60,champion,False,760,1888351.6353647723,,,False,,,,,,229,0.561897,3.724477,60,5.227261150721461,20,4,final-3068,evidence/large/final-3068-champion-4,large,ftol,1672694.8052276426,
76,champion,False,768,1672623.9064307355,,,True,,,,,,1034,0.533264,5.988284,76,7.382301619276404,7,5,final-3068,evidence/large/final-3068-champion-5,large,target,1672694.8052276426,5.973931759
116,champion,False,787,1671463.446057961,,,True,,,,,,1236,0.532597,8.146326,116,9.537843746133149,2,6,final-3068,evidence/large/final-3068-champion-6,large,target,1672694.8052276426,8.138115502
109,champion,False,841,1672229.0924351707,,,True,,,,,,1170,0.532619,7.442552,109,8.836107878014445,6,7,final-3068,evidence/large/final-3068-champion-7,large,target,1672694.8052276426,7.434500872
98,champion,False,788,1671912.3706725053,,,True,,,,,,1224,0.532569,7.468966,98,8.936390012968332,10,8,final-3068,evidence/large/final-3068-champion-8,large,target,1672694.8052276426,7.460914644
77,champion,False,757,1861894.7737372355,,,False,,,,,,265,0.559412,4.658621,77,6.080099247861654,18,9,final-3068,evidence/large/final-3068-champion-9,large,ftol,1672694.8052276426,
192,menu_feedback,True,826,1674580.0719601405,8,opening_cap,False,0,False,761,2.30041394,9,2544,0.532487,15.31428,192,16.706473337020725,17,0,final-3068,evidence/large/final-3068-menu_feedback-0,large,budget,1672694.8052276426,
33,menu_feedback,False,763,1842672.8589886113,8,opening_cap,False,0,False,421,1.32238261,8,524,0.553774,3.195205,33,4.625886328984052,20,1,final-3068,evidence/large/final-3068-menu_feedback-1,large,ftol,1672694.8052276426,
52,menu_feedback,False,757,1809749.861305755,8,opening_cap,False,0,False,761,2.30024213,9,916,0.549483,5.213043,52,6.630812576971948,11,2,final-3068,evidence/large/final-3068-menu_feedback-2,large,ftol,1672694.8052276426,
90,menu_feedback,False,776,1830980.6241746922,8,opening_cap,False,0,False,510,1.57886791,8,774,0.553441,6.859989,90,8.286101268138736,21,3,final-3068,evidence/large/final-3068-menu_feedback-3,large,ftol,1672694.8052276426,
108,menu_feedback,False,830,1672086.8708247668,8,opening_cap,True,0,False,510,1.5739485,8,1492,0.533104,8.288881,108,9.736641337163746,11,4,final-3068,evidence/large/final-3068-menu_feedback-4,large,target,1672694.8052276426,8.280512476
52,menu_feedback,False,774,1849295.275826326,8,opening_cap,False,0,False,510,1.57450354,8,641,0.556063,4.094338,52,5.482934226747602,10,5,final-3068,evidence/large/final-3068-menu_feedback-5,large,ftol,1672694.8052276426,
106,menu_feedback,False,797,1672469.8847920387,8,opening_cap,True,0,False,510,1.57253253,8,1480,0.53322,8.376712,106,9.842249614652246,7,6,final-3068,evidence/large/final-3068-menu_feedback-6,large,target,1672694.8052276426,8.368612706
175,menu_feedback,False,797,1672231.8397342085,8,opening_cap,True,0,False,761,2.29581116,9,2747,0.532137,14.682065,175,16.05512428190559,14,7,final-3068,evidence/large/final-3068-menu_feedback-7,large,target,1672694.8052276426,14.673924946
139,menu_feedback,True,817,1672771.1688980293,8,opening_cap,False,0,False,761,2.30115417,9,3499,0.531368,15.34175,139,16.707439728081226,8,8,final-3068,evidence/large/final-3068-menu_feedback-8,large,budget,1672694.8052276426,
61,menu_feedback,False,774,1805818.425275878,8,opening_cap,False,0,False,510,1.60465944,8,700,0.549904,4.904902,61,6.3806050340645015,15,9,final-3068,evidence/large/final-3068-menu_feedback-9,large,ftol,1672694.8052276426,
21,champion,False,180,7064094.59333941,,,True,,,,,,136,0.541309,7.027333,21,12.949956234078854,1,0,final-4585,evidence/large/final-4585-champion-0,large,target,7075838.613048037,7.006740458
18,champion,False,180,7075344.418937407,,,True,,,,,,134,0.543033,6.404693,18,12.297904348932207,2,1,final-4585,evidence/large/final-4585-champion-1,large,target,7075838.613048037,6.384150416
16,champion,False,180,6912864.206830652,,,True,,,,,,106,0.542377,5.350195,16,11.195648917928338,1,2,final-4585,evidence/large/final-4585-champion-2,large,target,7075838.613048037,5.329628317
22,champion,False,180,7075430.277742561,,,True,,,,,,117,0.541172,7.26766,22,13.196136115584522,2,3,final-4585,evidence/large/final-4585-champion-3,large,target,7075838.613048037,7.247091858
18,champion,False,179,7066407.718889762,,,True,,,,,,107,0.540711,5.873913,18,11.896976126357913,1,4,final-4585,evidence/large/final-4585-champion-4,large,target,7075838.613048037,5.853130675
24,champion,False,180,7049868.476477679,,,True,,,,,,163,0.543419,8.273409,24,14.103075676597655,1,5,final-4585,evidence/large/final-4585-champion-5,large,target,7075838.613048037,8.252871683
22,champion,False,179,7070250.433834267,,,True,,,,,,155,0.54083,8.179201,22,14.002501181326807,5,6,final-4585,evidence/large/final-4585-champion-6,large,target,7075838.613048037,8.158660031
18,champion,False,180,7050851.061338304,,,True,,,,,,120,0.543072,6.095606,18,11.895995495840907,1,7,final-4585,evidence/large/final-4585-champion-7,large,target,7075838.613048037,6.075036966
21,champion,False,180,7058039.336123234,,,True,,,,,,111,0.538923,6.707419,21,12.64850420691073,1,8,final-4585,evidence/large/final-4585-champion-8,large,target,7075838.613048037,6.686870203
22,champion,False,180,7074857.80394865,,,True,,,,,,142,0.540555,7.618048,22,13.451567442156374,2,9,final-4585,evidence/large/final-4585-champion-9,large,target,7075838.613048037,7.597454016
38,menu_feedback,True,181,7143176.382970613,8,opening_cap,False,0,False,194,3.5400418,8,282,0.535085,15.085867,38,20.971295531839132,4,0,final-4585,evidence/large/final-4585-menu_feedback-0,large,budget,7075838.613048037,
46,menu_feedback,True,199,7254757.323416815,8,opening_cap,False,0,False,125,2.49378143,8,219,0.54398,15.167066,46,21.02445755666122,0,1,final-4585,evidence/large/final-4585-menu_feedback-1,large,budget,7075838.613048037,
43,menu_feedback,True,184,7256849.330022933,8,opening_cap,False,0,False,125,2.49406764,8,231,0.543708,15.152437,43,20.972742164041847,3,2,final-4585,evidence/large/final-4585-menu_feedback-2,large,budget,7075838.613048037,
17,menu_feedback,False,201,7072882.480634864,8,opening_cap,True,0,False,255,4.46350016,8,314,0.540261,8.998739,17,14.854938108008355,0,3,final-4585,evidence/large/final-4585-menu_feedback-3,large,target,7075838.613048037,8.975015571
40,menu_feedback,False,187,6913084.189256988,8,opening_cap,True,0,False,125,2.49505269,8,218,0.543762,14.157108,40,20.012187216896564,4,4,final-4585,evidence/large/final-4585-menu_feedback-4,large,target,7075838.613048037,14.113800042
42,menu_feedback,True,189,7190280.21452812,8,opening_cap,False,0,False,125,2.49895883,8,217,0.545725,15.149278,42,21.07205716893077,5,5,final-4585,evidence/large/final-4585-menu_feedback-5,large,budget,7075838.613048037,
42,menu_feedback,True,184,7329646.390250713,8,opening_cap,False,0,False,125,2.49360696,8,217,0.547732,15.157924,42,20.920170709025115,5,6,final-4585,evidence/large/final-4585-menu_feedback-6,large,budget,7075838.613048037,
42,menu_feedback,True,184,7223441.090923321,8,opening_cap,False,0,False,125,2.5033274,8,245,0.538159,15.37439,42,21.120336419902742,3,7,final-4585,evidence/large/final-4585-menu_feedback-7,large,budget,7075838.613048037,
43,menu_feedback,True,177,7225464.703973823,8,opening_cap,False,0,False,125,2.49253974,8,216,0.540805,15.278102,43,21.071257417090237,4,8,final-4585,evidence/large/final-4585-menu_feedback-8,large,budget,7075838.613048037,
37,menu_feedback,True,199,7122894.15130514,8,opening_cap,False,0,False,255,4.46292531,8,362,0.536762,15.079612,37,20.873557158280164,0,9,final-4585,evidence/large/final-4585-menu_feedback-9,large,budget,7075838.613048037,
8,champion,False,13,359915.2159943843,,,False,,,,,,73,0.656468,0.145456,8,0.7661779611371458,0,0,dubrovnik-88,evidence/new-parity/dubrovnik-88-champion-0,new-parity,other_or_outer_cap,,
8,champion,False,13,359913.3026505314,,,False,,,,,,73,0.656463,0.143925,8,0.7664624312892556,0,1,dubrovnik-88,evidence/new-parity/dubrovnik-88-champion-1,new-parity,other_or_outer_cap,,
8,champion,False,13,359914.1066700974,,,False,,,,,,73,0.656467,0.165175,8,0.7660781806334853,0,2,dubrovnik-88,evidence/new-parity/dubrovnik-88-champion-2,new-parity,other_or_outer_cap,,
8,champion,False,33,13674.1989771969,,,False,,,,,,79,0.388107,0.04571,8,0.41538398107513785,0,0,ladybug-49,evidence/new-parity/ladybug-49-champion-0,new-parity,other_or_outer_cap,,
8,champion,False,33,13674.1989767971,,,False,,,,,,79,0.388107,0.039924,8,0.41540362080559134,0,1,ladybug-49,evidence/new-parity/ladybug-49-champion-1,new-parity,other_or_outer_cap,,
8,champion,False,33,13674.1989767991,,,False,,,,,,79,0.388107,0.040025,8,0.4650836349464953,0,2,ladybug-49,evidence/new-parity/ladybug-49-champion-2,new-parity,other_or_outer_cap,,
8,champion,False,2,285659.1148541041,,,False,,,,,,62,0.390647,0.145356,8,0.7161984560079873,1,0,venice-52,evidence/new-parity/venice-52-champion-0,new-parity,other_or_outer_cap,,
8,champion,False,2,285659.116448309,,,False,,,,,,62,0.390646,0.152801,8,0.7662019208073616,1,1,venice-52,evidence/new-parity/venice-52-champion-1,new-parity,other_or_outer_cap,,
8,champion,False,2,285659.2017252191,,,False,,,,,,62,0.390644,0.168417,8,0.7663795310072601,1,2,venice-52,evidence/new-parity/venice-52-champion-2,new-parity,other_or_outer_cap,,
8,champion,False,13,359914.4134730106,,,False,,,,,,73,0.656469,0.158304,8,0.7668834212236106,0,0,dubrovnik-88,evidence/original-parity/dubrovnik-88-champion-0,original-parity,other_or_outer_cap,,
8,champion,False,13,359914.1889644458,,,False,,,,,,73,0.656467,0.166787,8,0.7660349910147488,0,1,dubrovnik-88,evidence/original-parity/dubrovnik-88-champion-1,original-parity,other_or_outer_cap,,
8,champion,False,13,359914.4259400181,,,False,,,,,,73,0.656467,0.143659,8,0.766309941187501,0,2,dubrovnik-88,evidence/original-parity/dubrovnik-88-champion-2,original-parity,other_or_outer_cap,,
8,champion,False,33,13674.1989768014,,,False,,,,,,79,0.388107,0.040382,8,0.4657799359411001,0,0,ladybug-49,evidence/original-parity/ladybug-49-champion-0,original-parity,other_or_outer_cap,,
