witness,rep,arm,coarse_decrement,point_constant,control_gain,gain,rho,gain_over_control,raw_norm_over_radius,clip_scale,practical_gate
0,0,raw,9.617677000773246e-06,0.0009320915755489565,0.20035071135498583,0.0018823671099521986,0.9996284553600867,0.009395360252137957,0.047147450011716066,1.0,False
0,0,clipped,9.617677000773246e-06,0.0009320915755489565,0.20035071135498583,0.0018823671099521986,0.9996284553600867,0.009395360252137957,0.047147450011716066,1.0,False
0,1,raw,9.617677000773246e-06,0.0009320915755489565,0.20035071135498583,0.0018823671099521986,0.9996284553600867,0.009395360252137957,0.047147450011716066,1.0,False
0,1,clipped,9.617677000773246e-06,0.0009320915755489565,0.20035071135498583,0.0018823671099521986,0.9996284553600867,0.009395360252137957,0.047147450011716066,1.0,False
0,2,raw,9.617677000773246e-06,0.0009320915755489565,0.20035071135498583,0.0018823671099521986,0.9996284553600867,0.009395360252137957,0.047147450011716066,1.0,False
0,2,clipped,9.617677000773246e-06,0.0009320915755489565,0.20035071135498583,0.0018823671099521986,0.9996284553600867,0.009395360252137957,0.047147450011716066,1.0,False
5,0,raw,70.68853473256755,13.541412341118585,15.267472997773439,128.0207320773972,0.8045656308246181,8.385194596123888,49.160997921619966,1.0,False
5,0,clipped,70.68853473256755,13.541412341118585,15.267472997773439,13.278059960129152,0.44907088375570103,0.869695984532973,49.160997921619966,0.02034132833500154,False
5,1,raw,70.68853473256755,13.541412341118585,15.267472997773439,128.0207320773972,0.8045656308246181,8.385194596123888,49.160997921619966,1.0,False
5,1,clipped,70.68853473256755,13.541412341118585,15.267472997773439,13.278059960129152,0.44907088375570103,0.869695984532973,49.160997921619966,0.02034132833500154,False
5,2,raw,70.68853473256755,13.541412341118585,15.267472997773439,128.0207320773972,0.8045656308246181,8.385194596123888,49.160997921619966,1.0,False
5,2,clipped,70.68853473256755,13.541412341118585,15.267472997773439,13.278059960129152,0.44907088375570103,0.869695984532973,49.160997921619966,0.02034132833500154,False
6,0,raw,0.2263421142833538,0.032627140940753,0.026323252357542515,0.410405666282295,0.8654474354970189,15.590993875219212,2932.5484233402267,1.0,False
6,0,clipped,0.2263421142833538,0.032627140940753,0.026323252357542515,0.018553958034172962,0.28653943177532226,0.7048505170318218,2932.5484233402267,0.0003410003367859077,False
6,1,raw,0.2263421142833538,0.032627140940753,0.026323252357542515,0.410405666282295,0.8654474354970189,15.590993875219212,2932.5484233402267,1.0,False
6,1,clipped,0.2263421142833538,0.032627140940753,0.026323252357542515,0.018553958034172962,0.28653943177532226,0.7048505170318218,2932.5484233402267,0.0003410003367859077,False
6,2,raw,0.2263421142833538,0.032627140940753,0.026323252357542515,0.410405666282295,0.8654474354970189,15.590993875219212,2932.5484233402267,1.0,False
6,2,clipped,0.2263421142833538,0.032627140940753,0.026323252357542515,0.018553958034172962,0.28653943177532226,0.7048505170318218,2932.5484233402267,0.0003410003367859077,False
