iteration,recursive_relative,true_relative,pAp,seconds
128,3.3901316029261552e-07,3.3901308752541278e-07,9.7053652079362912e-15,0.27575254300000002
243,9.0424163147578471e-11,9.0341164950803513e-11,8.6507700061235539e-21,0.52357231599999998
