operator,rep,pAp,quotient
stored_repeat,0,-2.0700536154097833,-5.5738352675426622e-10
stored_repeat,1,-2.0700536154061453,-5.5738352675328673e-10
stored_repeat,2,-2.0700536154059641,-5.5738352675323793e-10
stored_repeat,3,-2.0700536154059037,-5.5738352675322159e-10
stored_repeat,4,-2.0700536154093285,-5.5738352675414379e-10
stored,0,-2.0700536154107212,-5.5738352675451882e-10
W32_R32qr,0,-2.0700536154191695,-5.5738352675679356e-10
W64_Rstored,0,127.51749969550627,3.4335416809529005e-08
W32_R64qr,0,-2.0834491246989018,-5.6099040734646788e-10
W64_R64qr,0,127.51753064644451,3.4335425143391947e-08
