scene,arm,rep,representative,iteration,elapsed_s,cost,cost_kind,event,csv_wall_s,csv_to_native_offset_s
final-4585,rayleigh,1,True,0,0.0,602872963.4893306,native,initial,,
final-4585,rayleigh,1,True,0,0.030544903999999873,602872963.4893306,native,setup_complete,0.0,
final-4585,rayleigh,1,True,1,0.22684490399999988,34818548.00487038,native,outer_complete,0.1963,
final-4585,rayleigh,1,True,2,0.5244449039999999,14400278.572320737,native,outer_complete,0.4939,
final-4585,rayleigh,1,True,3,1.0425449039999999,11774043.164174141,native,outer_complete,1.012,
final-4585,rayleigh,1,True,4,1.3070449039999998,9142932.752048759,native,outer_complete,1.2765,
final-4585,rayleigh,1,True,5,1.5676449039999998,7906104.6620884,native,outer_complete,1.5371,
final-4585,rayleigh,1,True,6,1.844744904,7531022.923293058,native,outer_complete,1.8142,
final-4585,rayleigh,1,True,6,1.844744904,7531022.923293023,independent_fp64,audited_endpoint,,
final-4585,caspar32,1,True,0,0.0,602871680.0,native,initial,,
final-4585,caspar32,1,True,1,0.10732012,93462696.0,native,accepted,,
final-4585,caspar32,1,True,2,0.282115787,93462696.0,native,rejected,,
final-4585,caspar32,1,True,3,0.39602851,62641272.0,native,accepted,,
final-4585,caspar32,1,True,4,0.499767498,31253836.0,native,accepted,,
final-4585,caspar32,1,True,5,0.645150118,21237570.0,native,accepted,,
final-4585,caspar32,1,True,6,0.883736211,15952882.0,native,accepted,,
final-4585,caspar32,1,True,7,1.120283382,14328352.0,native,accepted,,
final-4585,caspar32,1,True,8,1.356644313,14328352.0,native,rejected,,
final-4585,caspar32,1,True,9,1.592848474,14328352.0,native,rejected,,
final-4585,caspar32,1,True,10,1.737658074,13709000.0,native,accepted,,
final-4585,caspar32,1,True,11,1.831521557,13600514.0,native,accepted,,
final-4585,caspar32,1,True,12,1.925429029,13383138.0,native,accepted,,
final-4585,caspar32,1,True,13,2.031200368,13383138.0,native,rejected,,
final-4585,caspar32,1,True,14,2.1250528,13205198.0,native,accepted,,
final-4585,caspar32,1,True,15,2.19853444,13082400.0,native,accepted,,
final-4585,caspar32,1,True,16,2.271991931,12992931.0,native,accepted,,
final-4585,caspar32,1,True,17,2.371877657,12992931.0,native,rejected,,
final-4585,caspar32,1,True,18,2.455542223,12971019.0,native,accepted,,
final-4585,caspar32,1,True,19,2.518835028,12939159.0,native,accepted,,
final-4585,caspar32,1,True,20,2.582101013,12907137.0,native,accepted,,
final-4585,caspar32,1,True,21,2.645356018,12888873.0,native,accepted,,
final-4585,caspar32,1,True,22,2.708638724,12867103.0,native,accepted,,
final-4585,caspar32,1,True,23,2.771908309,12847130.0,native,accepted,,
final-4585,caspar32,1,True,24,2.835219174,12822563.0,native,accepted,,
final-4585,caspar32,1,True,25,2.898520229,12801478.0,native,accepted,,
final-4585,caspar32,1,True,26,2.961791264,12781319.0,native,accepted,,
final-4585,caspar32,1,True,27,3.025062999,12762257.0,native,accepted,,
final-4585,caspar32,1,True,28,3.088329564,12740814.0,native,accepted,,
final-4585,caspar32,1,True,29,3.15167893,12722029.0,native,accepted,,
final-4585,caspar32,1,True,30,3.214994125,12702578.0,native,accepted,,
final-4585,caspar32,1,True,31,3.27825605,12684678.0,native,accepted,,
final-4585,caspar32,1,True,32,3.341556255,12665313.0,native,accepted,,
final-4585,caspar32,1,True,33,3.40482524,12647937.0,native,accepted,,
final-4585,caspar32,1,True,34,3.468089725,12629486.0,native,accepted,,
final-4585,caspar32,1,True,35,3.53138332,12612659.0,native,accepted,,
final-4585,caspar32,1,True,36,3.594667536,12594718.0,native,accepted,,
final-4585,caspar32,1,True,37,3.65794556,12578398.0,native,accepted,,
final-4585,caspar32,1,True,38,3.721243796,12560969.0,native,accepted,,
final-4585,caspar32,1,True,39,3.784544901,12545095.0,native,accepted,,
final-4585,caspar32,1,True,40,3.847834916,12528171.0,native,accepted,,
final-4585,caspar32,1,True,41,3.911124471,12512720.0,native,accepted,,
final-4585,caspar32,1,True,42,3.974392726,12496253.0,native,accepted,,
final-4585,caspar32,1,True,43,4.037695021,12481201.0,native,accepted,,
final-4585,caspar32,1,True,44,4.101008696,12465163.0,native,accepted,,
final-4585,caspar32,1,True,45,4.164318081,12450513.0,native,accepted,,
final-4585,caspar32,1,True,46,4.227616117,12434823.0,native,accepted,,
final-4585,caspar32,1,True,47,4.290862402,12420498.0,native,accepted,,
final-4585,caspar32,1,True,48,4.354364537,12405233.0,native,accepted,,
final-4585,caspar32,1,True,49,4.417664482,12391186.0,native,accepted,,
final-4585,caspar32,1,True,50,4.480969557,12376221.0,native,accepted,,
final-4585,caspar32,1,True,51,4.544254043,12362535.0,native,accepted,,
final-4585,caspar32,1,True,52,4.607493607,12347939.0,native,accepted,,
final-4585,caspar32,1,True,53,4.670779723,12334516.0,native,accepted,,
final-4585,caspar32,1,True,54,4.734062558,12320173.0,native,accepted,,
final-4585,caspar32,1,True,55,4.797365863,12307021.0,native,accepted,,
final-4585,caspar32,1,True,56,4.860664868,12292990.0,native,accepted,,
final-4585,caspar32,1,True,57,4.923951543,12280106.0,native,accepted,,
final-4585,caspar32,1,True,58,4.987250038,12266349.0,native,accepted,,
final-4585,caspar32,1,True,59,5.050539344,12253694.0,native,accepted,,
final-4585,caspar32,1,True,60,5.113824968,12240204.0,native,accepted,,
final-4585,caspar32,1,True,61,5.177100774,12227766.0,native,accepted,,
final-4585,caspar32,1,True,62,5.240390159,12214481.0,native,accepted,,
final-4585,caspar32,1,True,63,5.303713844,12202292.0,native,accepted,,
final-4585,caspar32,1,True,64,5.367002409,12189267.0,native,accepted,,
final-4585,caspar32,1,True,65,5.430296004,12177296.0,native,accepted,,
final-4585,caspar32,1,True,66,5.493629899,12164474.0,native,accepted,,
final-4585,caspar32,1,True,67,5.556875054,12152687.0,native,accepted,,
final-4585,caspar32,1,True,68,5.62015682,12140098.0,native,accepted,,
final-4585,caspar32,1,True,69,5.683448025,12128486.0,native,accepted,,
final-4585,caspar32,1,True,70,5.74670356,12116103.0,native,accepted,,
final-4585,caspar32,1,True,71,5.810006835,12104718.0,native,accepted,,
final-4585,caspar32,1,True,72,5.8732692,12092509.0,native,accepted,,
final-4585,caspar32,1,True,73,5.936558915,12081273.0,native,accepted,,
final-4585,caspar32,1,True,74,5.9998416,12069208.0,native,accepted,,
final-4585,caspar32,1,True,75,6.063107335,12058185.0,native,accepted,,
final-4585,caspar32,1,True,76,6.126488041,12046314.0,native,accepted,,
final-4585,caspar32,1,True,77,6.189827356,12035420.0,native,accepted,,
final-4585,caspar32,1,True,78,6.253086431,12023758.0,native,accepted,,
final-4585,caspar32,1,True,79,6.316333456,12013027.0,native,accepted,,
final-4585,caspar32,1,True,80,6.379622341,12001528.0,native,accepted,,
final-4585,caspar32,1,True,81,6.442910936,11990921.0,native,accepted,,
final-4585,caspar32,1,True,82,6.506181032,11979577.0,native,accepted,,
final-4585,caspar32,1,True,83,6.569418676,11969132.0,native,accepted,,
final-4585,caspar32,1,True,84,6.632697572,11957923.0,native,accepted,,
final-4585,caspar32,1,True,85,6.695976467,11947623.0,native,accepted,,
final-4585,caspar32,1,True,86,6.759263052,11936559.0,native,accepted,,
final-4585,caspar32,1,True,87,6.822555967,11926368.0,native,accepted,,
final-4585,caspar32,1,True,88,6.885828562,11915472.0,native,accepted,,
final-4585,caspar32,1,True,89,6.949162597,11905445.0,native,accepted,,
final-4585,caspar32,1,True,90,7.012441873,11894656.0,native,accepted,,
final-4585,caspar32,1,True,91,7.075744917,11884778.0,native,accepted,,
final-4585,caspar32,1,True,92,7.139023893,11874106.0,native,accepted,,
final-4585,caspar32,1,True,93,7.202318898,11864306.0,native,accepted,,
final-4585,caspar32,1,True,94,7.265611393,11853805.0,native,accepted,,
final-4585,caspar32,1,True,95,7.328912838,11844107.0,native,accepted,,
final-4585,caspar32,1,True,96,7.392411303,11833753.0,native,accepted,,
final-4585,caspar32,1,True,97,7.455675148,11824142.0,native,accepted,,
final-4585,caspar32,1,True,98,7.518982004,11813859.0,native,accepted,,
final-4585,caspar32,1,True,99,7.582285129,11804440.0,native,accepted,,
final-4585,caspar32,1,True,100,7.645571714,11794273.0,native,accepted,,
final-4585,caspar32,1,True,101,7.708844719,11784942.0,native,accepted,,
final-4585,caspar32,1,True,102,7.772144464,11774899.0,native,accepted,,
final-4585,caspar32,1,True,103,7.835437279,11765665.0,native,accepted,,
final-4585,caspar32,1,True,104,7.898698864,11755704.0,native,accepted,,
final-4585,caspar32,1,True,105,7.961957209,11746554.0,native,accepted,,
final-4585,caspar32,1,True,106,8.025285335,11736721.0,native,accepted,,
final-4585,caspar32,1,True,107,8.08856762,11727704.0,native,accepted,,
final-4585,caspar32,1,True,108,8.151855945,11717954.0,native,accepted,,
final-4585,caspar32,1,True,109,8.2151571,11709039.0,native,accepted,,
final-4585,caspar32,1,True,110,8.278472335,11699418.0,native,accepted,,
final-4585,caspar32,1,True,111,8.34176669,11690532.0,native,accepted,,
final-4585,caspar32,1,True,112,8.405064225,11681049.0,native,accepted,,
final-4585,caspar32,1,True,113,8.468303041,11672273.0,native,accepted,,
final-4585,caspar32,1,True,114,8.531583776,11662841.0,native,accepted,,
final-4585,caspar32,1,True,115,8.594860241,11654181.0,native,accepted,,
final-4585,caspar32,1,True,116,8.658208096,11644843.0,native,accepted,,
final-4585,caspar32,1,True,117,8.721509781,11636260.0,native,accepted,,
final-4585,caspar32,1,True,118,8.784782976,11627004.0,native,accepted,,
final-4585,caspar32,1,True,119,8.848065581,11618514.0,native,accepted,,
final-4585,caspar32,1,True,120,8.911334856,11609365.0,native,accepted,,
final-4585,caspar32,1,True,121,8.974600832,11600911.0,native,accepted,,
final-4585,caspar32,1,True,122,9.037916087,11591897.0,native,accepted,,
final-4585,caspar32,1,True,123,9.101197452,11583559.0,native,accepted,,
final-4585,caspar32,1,True,124,9.164459097,11574577.0,native,accepted,,
final-4585,caspar32,1,True,125,9.227749202,11566315.0,native,accepted,,
final-4585,caspar32,1,True,126,9.291034617,11557431.0,native,accepted,,
final-4585,caspar32,1,True,127,9.354311192,11549262.0,native,accepted,,
final-4585,caspar32,1,True,128,9.417618637,11540442.0,native,accepted,,
final-4585,caspar32,1,True,129,9.480882612,11532335.0,native,accepted,,
final-4585,caspar32,1,True,130,9.544175128,11523637.0,native,accepted,,
final-4585,caspar32,1,True,131,9.607454903,11515599.0,native,accepted,,
final-4585,caspar32,1,True,132,9.670742458,11506965.0,native,accepted,,
final-4585,caspar32,1,True,133,9.734019133,11499029.0,native,accepted,,
final-4585,caspar32,1,True,134,9.797286478,11490427.0,native,accepted,,
final-4585,caspar32,1,True,135,9.860584323,11482569.0,native,accepted,,
final-4585,caspar32,1,True,136,9.923850429,11474073.0,native,accepted,,
final-4585,caspar32,1,True,137,9.987154854,11466305.0,native,accepted,,
final-4585,caspar32,1,True,138,10.050421179,11457877.0,native,accepted,,
final-4585,caspar32,1,True,139,10.113699004,11450156.0,native,accepted,,
final-4585,caspar32,1,True,140,10.176984689,11441813.0,native,accepted,,
final-4585,caspar32,1,True,141,10.240264524,11434166.0,native,accepted,,
final-4585,caspar32,1,True,142,10.303576929,11425878.0,native,accepted,,
final-4585,caspar32,1,True,143,10.367010424,11418350.0,native,accepted,,
final-4585,caspar32,1,True,144,10.4302575,11410167.0,native,accepted,,
final-4585,caspar32,1,True,145,10.493549035,11402642.0,native,accepted,,
final-4585,caspar32,1,True,146,10.55677919,11394527.0,native,accepted,,
final-4585,caspar32,1,True,147,10.620061015,11387100.0,native,accepted,,
final-4585,caspar32,1,True,148,10.68332205,11379075.0,native,accepted,,
final-4585,caspar32,1,True,149,10.746720995,11371694.0,native,accepted,,
final-4585,caspar32,1,True,150,10.81000116,11363719.0,native,accepted,,
final-4585,caspar32,1,True,151,10.873289065,11356436.0,native,accepted,,
final-4585,caspar32,1,True,152,10.936570131,11348577.0,native,accepted,,
final-4585,caspar32,1,True,153,10.999859466,11341338.0,native,accepted,,
final-4585,caspar32,1,True,154,11.063135681,11333572.0,native,accepted,,
final-4585,caspar32,1,True,155,11.126400866,11326392.0,native,accepted,,
