seed,pixels,rank,iteration,seconds_after_setup,cost
43,0.25,0,9,9.1715,3.9509296196340495e+18
43,0.25,0,10,10.1551,3.1627904752459366e+18
43,0.25,0,11,11.1391,2.172935367246392e+18
43,0.25,16,0,0.0,4.4076817849707034e+18
43,0.25,16,1,2.3021,4.407212533897454e+18
43,0.25,16,2,2.9617,4.4037519708727444e+18
43,0.25,16,3,3.9504,4.401632602236796e+18
43,0.25,16,4,4.611,4.399565556589703e+18
43,0.25,16,5,5.4865,4.394422299544218e+18
43,0.25,16,6,6.3439,4.3861378170563707e+18
43,0.25,16,7,7.2543,4.355411344082996e+18
43,0.25,16,8,8.1839,4.264379909636392e+18
43,0.25,16,9,9.1663,3.9509296196338166e+18
43,0.25,16,10,10.1486,3.1627904752380764e+18
43,0.25,16,11,11.1319,2.1729353649555763e+18
43,1.0,16,0,0.0,7.052270552121744e+19
43,1.0,16,1,2.302,7.0516408332099985e+19
43,1.0,16,2,2.9618,7.046022757779427e+19
43,1.0,16,3,4.2797,7.045740473126284e+19
43,1.0,16,4,5.1542,7.044599808913813e+19
43,1.0,16,5,6.0117,7.042333512850686e+19
43,1.0,16,6,6.6737,7.039182841926125e+19
43,1.0,16,7,7.5492,7.029933776739341e+19
43,1.0,16,8,8.4781,6.996544802021548e+19
43,1.0,16,9,9.4079,6.8845161133720125e+19
43,1.0,16,10,10.3908,6.462891045172202e+19
43,1.0,16,11,11.3746,5.213590478564462e+19
43,1.0,0,0,0.0,7.052270552121744e+19
43,1.0,0,1,2.3035,7.0516408332099985e+19
43,1.0,0,2,2.9643,7.046022757779427e+19
43,1.0,0,3,4.2829,7.0457404731262845e+19
43,1.0,0,4,5.1582,7.044599808913813e+19
43,1.0,0,5,6.0166,7.042333512850686e+19
43,1.0,0,6,6.6793,7.039182841926125e+19
43,1.0,0,7,7.5556,7.029933776739341e+19
43,1.0,0,8,8.4852,6.99654480202155e+19
43,1.0,0,9,9.4158,6.884516113372013e+19
43,1.0,0,10,10.4002,6.462891045174105e+19
43,1.0,0,11,11.3848,5.213590478563916e+19
