panel,arm,rep,seconds,cost,target
"12 cams / 180 points, bridges=4",fine,0,0.0,136994.08078688456,30.857576624118938
"12 cams / 180 points, bridges=4",fine,0,0.004511512815952301,26429.360796350193,30.857576624118938
"12 cams / 180 points, bridges=4",fine,0,0.008090395014733076,5222.179397315202,30.857576624118938
"12 cams / 180 points, bridges=4",fine,0,0.011034315917640924,1210.1233009765588,30.857576624118938
"12 cams / 180 points, bridges=4",fine,0,0.013963617850095034,539.5997761136701,30.857576624118938
"12 cams / 180 points, bridges=4",fine,0,0.017038639169186354,331.28771912712324,30.857576624118938
"12 cams / 180 points, bridges=4",fine,0,0.0199830811470747,209.60202994400925,30.857576624118938
"12 cams / 180 points, bridges=4",fine,0,0.022850201930850744,115.23295394296319,30.857576624118938
"12 cams / 180 points, bridges=4",fine,0,0.02573681389912963,58.30211020377116,30.857576624118938
"12 cams / 180 points, bridges=4",fine,0,0.02863533515483141,33.970960107354735,30.857576624118938
"12 cams / 180 points, bridges=4",fine,0,0.03149746684357524,21.606447734557953,30.857576624118938
"12 cams / 180 points, bridges=4",fine,1,0.0,136994.08078688456,30.857576624118938
"12 cams / 180 points, bridges=4",fine,1,0.003439281601458788,26429.360796350193,30.857576624118938
"12 cams / 180 points, bridges=4",fine,1,0.006798953749239445,5222.179397315202,30.857576624118938
"12 cams / 180 points, bridges=4",fine,1,0.009732954669743776,1210.1233009765588,30.857576624118938
"12 cams / 180 points, bridges=4",fine,1,0.0125561966560781,539.5997761136701,30.857576624118938
"12 cams / 180 points, bridges=4",fine,1,0.015437247697263956,331.28771912712324,30.857576624118938
"12 cams / 180 points, bridges=4",fine,1,0.018318588845431805,209.60202994400925,30.857576624118938
"12 cams / 180 points, bridges=4",fine,1,0.021455250680446625,115.23295394296319,30.857576624118938
"12 cams / 180 points, bridges=4",fine,1,0.02437178185209632,58.30211020377116,30.857576624118938
"12 cams / 180 points, bridges=4",fine,1,0.027640713844448328,33.970960107354735,30.857576624118938
"12 cams / 180 points, bridges=4",fine,1,0.03053765557706356,21.606447734557953,30.857576624118938
"12 cams / 180 points, bridges=4",fine,2,0.0,136994.08078688456,30.857576624118938
"12 cams / 180 points, bridges=4",fine,2,0.0034812516532838345,26429.360796350193,30.857576624118938
"12 cams / 180 points, bridges=4",fine,2,0.0068040937185287476,5222.179397315202,30.857576624118938
"12 cams / 180 points, bridges=4",fine,2,0.009780004620552063,1210.1233009765588,30.857576624118938
"12 cams / 180 points, bridges=4",fine,2,0.013002966530621052,539.5997761136701,30.857576624118938
"12 cams / 180 points, bridges=4",fine,2,0.01587345777079463,331.28771912712324,30.857576624118938
"12 cams / 180 points, bridges=4",fine,2,0.018751459661871195,209.60202994400925,30.857576624118938
"12 cams / 180 points, bridges=4",fine,2,0.021581750828772783,115.23295394296319,30.857576624118938
"12 cams / 180 points, bridges=4",fine,2,0.024461842607706785,58.30211020377116,30.857576624118938
"12 cams / 180 points, bridges=4",fine,2,0.027344053611159325,33.970960107354735,30.857576624118938
"12 cams / 180 points, bridges=4",fine,2,0.030162885785102844,21.606447734557953,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,0,0.0028826710768043995,136994.08078688456,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,0,0.0046302322298288345,7271.356472996692,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,0,0.005958893336355686,6764.4118879058005,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,0,0.007168164476752281,6764.330509697109,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,0,0.008456424344331026,6764.311459248666,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,0,0.00965438550338149,6764.30094936437,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,0,0.010841645300388336,6764.295113716845,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,0,0.012043016497045755,6764.291860289891,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,0,0.01326335733756423,6764.290041944975,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,0,0.017076919320970774,69.44578480359652,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,0,0.020476820413023233,50.349315685319944,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,0,0.023294782266020775,42.445153694779044,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,0,0.026229253504425287,35.17331828547107,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,0,0.02907098550349474,28.110440905562808,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,1,0.002844071015715599,136994.08078688456,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,1,0.004592911805957556,7271.356472996692,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,1,0.005930203013122082,6764.4118879058005,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,1,0.007154603023082018,6764.330509697109,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,1,0.008438643999397755,6764.311459248666,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,1,0.009722115006297827,6764.30094936437,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,1,0.01091939490288496,6764.295113716845,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,1,0.012120516039431095,6764.291860289891,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,1,0.013411697000265121,6764.290041944975,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,1,0.016940577886998653,69.44578480359652,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,1,0.020276779774576426,50.349315685319944,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,1,0.02323144068941474,42.445153694779044,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,1,0.026082432828843594,35.17331828547107,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,1,0.028897743672132492,28.110440905562808,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,2,0.002818301785737276,136994.08078688456,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,2,0.004552751779556274,7271.356472996692,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,2,0.0059132627211511135,6764.4118879058005,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,2,0.007109994068741798,6764.330509697109,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,2,0.00838917400687933,6764.311459248666,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,2,0.009586635045707226,6764.30094936437,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,2,0.010782905854284763,6764.295113716845,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,2,0.01197479572147131,6764.291860289891,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,2,0.013188656885176897,6764.290041944975,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,2,0.017015498597174883,69.44578480359652,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,2,0.020335459616035223,50.349315685319944,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,2,0.023172901943325996,42.445153694779044,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,2,0.026082762982696295,35.17331828547107,30.857576624118938
"12 cams / 180 points, bridges=4",auto-linear,2,0.02891447488218546,28.110440905562808,30.857576624118938
"12 cams / 180 points, bridges=4",auto-nonlinear,0,0.002389131113886833,136994.08078688456,30.857576624118938
"12 cams / 180 points, bridges=4",auto-nonlinear,0,0.004342971835285425,959.2921187364915,30.857576624118938
"12 cams / 180 points, bridges=4",auto-nonlinear,0,0.005886543076485395,441.2432037260713,30.857576624118938
"12 cams / 180 points, bridges=4",auto-nonlinear,0,0.007380223833024502,440.9331238671239,30.857576624118938
"12 cams / 180 points, bridges=4",auto-nonlinear,0,0.008781343698501587,440.9326211140565,30.857576624118938
"12 cams / 180 points, bridges=4",auto-nonlinear,0,0.010176645126193762,440.93262005165246,30.857576624118938
"12 cams / 180 points, bridges=4",auto-nonlinear,0,0.011569966096431017,440.9326200509958,30.857576624118938
"12 cams / 180 points, bridges=4",auto-nonlinear,0,0.017980859149247408,14.150852267939525,30.857576624118938
"12 cams / 180 points, bridges=4",auto-nonlinear,1,0.002624570857733488,136994.08078688456,30.857576624118938
"12 cams / 180 points, bridges=4",auto-nonlinear,1,0.004601072054356337,959.2921187364915,30.857576624118938
"12 cams / 180 points, bridges=4",auto-nonlinear,1,0.006153433118015528,441.2432037260713,30.857576624118938
"12 cams / 180 points, bridges=4",auto-nonlinear,1,0.0075646028853952885,440.9331238671239,30.857576624118938
"12 cams / 180 points, bridges=4",auto-nonlinear,1,0.009060123935341835,440.9326211140565,30.857576624118938
"12 cams / 180 points, bridges=4",auto-nonlinear,1,0.010598824825137854,440.93262005165246,30.857576624118938
"12 cams / 180 points, bridges=4",auto-nonlinear,1,0.01199033623561263,440.9326200509958,30.857576624118938
"12 cams / 180 points, bridges=4",auto-nonlinear,1,0.01868319883942604,14.150852267939525,30.857576624118938
"12 cams / 180 points, bridges=4",auto-nonlinear,2,0.0023888307623565197,136994.08078688456,30.857576624118938
"12 cams / 180 points, bridges=4",auto-nonlinear,2,0.004352491814643145,959.2921187364915,30.857576624118938
"12 cams / 180 points, bridges=4",auto-nonlinear,2,0.00588628277182579,441.2432037260713,30.857576624118938
"12 cams / 180 points, bridges=4",auto-nonlinear,2,0.007378733716905117,440.9331238671239,30.857576624118938
"12 cams / 180 points, bridges=4",auto-nonlinear,2,0.008779024705290794,440.9326211140565,30.857576624118938
"12 cams / 180 points, bridges=4",auto-nonlinear,2,0.01017008488997817,440.93262005165246,30.857576624118938
"12 cams / 180 points, bridges=4",auto-nonlinear,2,0.011568765621632338,440.9326200509958,30.857576624118938
"12 cams / 180 points, bridges=4",auto-nonlinear,2,0.01808158913627267,14.150852267939525,30.857576624118938
"30 cams / 900 points, bridges=4",fine,0,0.0,109504.60016060581,211.8628390667872
"30 cams / 900 points, bridges=4",fine,0,0.04664005385711789,62509.61432724892,211.8628390667872
"30 cams / 900 points, bridges=4",fine,0,0.08672592369839549,44679.53843856243,211.8628390667872
"30 cams / 900 points, bridges=4",fine,0,0.120529571082443,28015.083903246894,211.8628390667872
"30 cams / 900 points, bridges=4",fine,0,0.15242213802412152,15109.270350740868,211.8628390667872
"30 cams / 900 points, bridges=4",fine,0,0.18526823399588466,7049.711294449373,211.8628390667872
"30 cams / 900 points, bridges=4",fine,0,0.21856220113113523,2928.4890293799585,211.8628390667872
"30 cams / 900 points, bridges=4",fine,0,0.2525315987877548,1266.6251792062872,211.8628390667872
"30 cams / 900 points, bridges=4",fine,0,0.28676408575847745,741.912208294044,211.8628390667872
"30 cams / 900 points, bridges=4",fine,0,0.31942571280524135,450.45445209953203,211.8628390667872
"30 cams / 900 points, bridges=4",fine,0,0.3521140590310097,263.88209498554875,211.8628390667872
"30 cams / 900 points, bridges=4",fine,0,0.3864801567979157,204.5471612156484,211.8628390667872
"30 cams / 900 points, bridges=4",fine,1,0.0,109504.60016060581,211.8628390667872
"30 cams / 900 points, bridges=4",fine,1,0.04179756110534072,62509.61432724892,211.8628390667872
"30 cams / 900 points, bridges=4",fine,1,0.07966386014595628,44679.53843856243,211.8628390667872
"30 cams / 900 points, bridges=4",fine,1,0.11197486706078053,28015.083903246894,211.8628390667872
"30 cams / 900 points, bridges=4",fine,1,0.14400395285338163,15109.270350740868,211.8628390667872
"30 cams / 900 points, bridges=4",fine,1,0.17765610991045833,7049.711294449373,211.8628390667872
"30 cams / 900 points, bridges=4",fine,1,0.20926453592255712,2928.4890293799585,211.8628390667872
"30 cams / 900 points, bridges=4",fine,1,0.24109954200685024,1266.6251792062872,211.8628390667872
"30 cams / 900 points, bridges=4",fine,1,0.27326039876788855,741.912208294044,211.8628390667872
"30 cams / 900 points, bridges=4",fine,1,0.3061313950456679,450.45445209953203,211.8628390667872
"30 cams / 900 points, bridges=4",fine,1,0.33849500212818384,263.88209498554875,211.8628390667872
"30 cams / 900 points, bridges=4",fine,1,0.3707326678559184,204.5471612156484,211.8628390667872
"30 cams / 900 points, bridges=4",fine,2,0.0,109504.60016060581,211.8628390667872
"30 cams / 900 points, bridges=4",fine,2,0.040904451161623,62509.61432724892,211.8628390667872
"30 cams / 900 points, bridges=4",fine,2,0.07932728016749024,44679.53843856243,211.8628390667872
"30 cams / 900 points, bridges=4",fine,2,0.11181720718741417,28015.083903246894,211.8628390667872
"30 cams / 900 points, bridges=4",fine,2,0.14390120329335332,15109.270350740868,211.8628390667872
"30 cams / 900 points, bridges=4",fine,2,0.1758370790630579,7049.711294449373,211.8628390667872
"30 cams / 900 points, bridges=4",fine,2,0.20773378619924188,2928.4890293799585,211.8628390667872
"30 cams / 900 points, bridges=4",fine,2,0.23976225219666958,1266.6251792062872,211.8628390667872
"30 cams / 900 points, bridges=4",fine,2,0.27219681814312935,741.912208294044,211.8628390667872
"30 cams / 900 points, bridges=4",fine,2,0.30414196429774165,450.45445209953203,211.8628390667872
"30 cams / 900 points, bridges=4",fine,2,0.33625073125585914,263.88209498554875,211.8628390667872
"30 cams / 900 points, bridges=4",fine,2,0.36838544718921185,204.5471612156484,211.8628390667872
"30 cams / 900 points, bridges=4",auto-linear,0,0.030973915942013264,109504.60016060581,211.8628390667872
"30 cams / 900 points, bridges=4",auto-linear,0,0.04359493311494589,30561.590402387556,211.8628390667872
"30 cams / 900 points, bridges=4",auto-linear,0,0.0728817181661725,30515.33422326529,211.8628390667872
"30 cams / 900 points, bridges=4",auto-linear,0,0.08224616199731827,30509.485339487765,211.8628390667872
"30 cams / 900 points, bridges=4",auto-linear,0,0.10134644201025367,30499.726553714307,211.8628390667872
"30 cams / 900 points, bridges=4",auto-linear,0,0.15280834818258882,279.27306531644336,211.8628390667872
"30 cams / 900 points, bridges=4",auto-linear,0,0.19058042718097568,199.51961573875212,211.8628390667872
"30 cams / 900 points, bridges=4",auto-linear,1,0.030833315569907427,109504.60016060581,211.8628390667872
"30 cams / 900 points, bridges=4",auto-linear,1,0.043355532456189394,30561.590402387556,211.8628390667872
"30 cams / 900 points, bridges=4",auto-linear,1,0.07233497640118003,30515.33422326529,211.8628390667872
"30 cams / 900 points, bridges=4",auto-linear,1,0.08190004155039787,30509.485339487765,211.8628390667872
"30 cams / 900 points, bridges=4",auto-linear,1,0.10094898147508502,30499.726553714307,211.8628390667872
"30 cams / 900 points, bridges=4",auto-linear,1,0.15186102641746402,279.27306531644336,211.8628390667872
"30 cams / 900 points, bridges=4",auto-linear,1,0.1899068863131106,199.51961573875212,211.8628390667872
"30 cams / 900 points, bridges=4",auto-linear,2,0.03031002590432763,109504.60016060581,211.8628390667872
"30 cams / 900 points, bridges=4",auto-linear,2,0.04313070327043533,30561.590402387556,211.8628390667872
"30 cams / 900 points, bridges=4",auto-linear,2,0.07255659811198711,30515.33422326529,211.8628390667872
"30 cams / 900 points, bridges=4",auto-linear,2,0.0820058030076325,30509.485339487765,211.8628390667872
"30 cams / 900 points, bridges=4",auto-linear,2,0.10093827219679952,30499.726553714307,211.8628390667872
"30 cams / 900 points, bridges=4",auto-linear,2,0.1529350276105106,279.27306531644336,211.8628390667872
"30 cams / 900 points, bridges=4",auto-linear,2,0.19088021758943796,199.51961573875212,211.8628390667872
"30 cams / 900 points, bridges=4",auto-nonlinear,0,0.02583271311596036,109504.60016060581,211.8628390667872
"30 cams / 900 points, bridges=4",auto-nonlinear,0,0.03865319909527898,3948.9384816988427,211.8628390667872
"30 cams / 900 points, bridges=4",auto-nonlinear,0,0.049237375147640705,3837.665591927344,211.8628390667872
"30 cams / 900 points, bridges=4",auto-nonlinear,0,0.05883624032139778,3836.13766628934,211.8628390667872
"30 cams / 900 points, bridges=4",auto-nonlinear,0,0.06850344408303499,3836.0151547563855,211.8628390667872
"30 cams / 900 points, bridges=4",auto-nonlinear,0,0.07809712924063206,3836.008703146281,211.8628390667872
"30 cams / 900 points, bridges=4",auto-nonlinear,0,0.08904944499954581,3836.008592344443,211.8628390667872
"30 cams / 900 points, bridges=4",auto-nonlinear,0,0.10039728134870529,3836.0085918084633,211.8628390667872
"30 cams / 900 points, bridges=4",auto-nonlinear,0,0.10985944513231516,3836.008591807832,211.8628390667872
