witness,rep,rank,eta2_gain,initial_decrement,coarse_gain,ratio_eta2,gate,accepted,backtrack_halvings,native_fine_radius,camera_norm_over_radius,point_max,same_cluster_cost_drift,normal_assemblies,full_scores,total_cpu_seconds,setup_cpu_seconds
0,0,50,0.20035071135498583,9.290548640821097e-06,0.0019492606530829677,0.009729242486337992,False,3,0,0.0010563338981545876,4.9565177933971025,7.05830217974814e-08,-8.972972418178054e-10,3,4,12.655385647900403,7.532603446859866
0,1,50,0.20035071135498583,9.290548640821097e-06,0.0019492606530829677,0.009729242486337992,False,3,0,0.0010563338981545876,4.9565177933971025,7.05830217974814e-08,-8.972972418178054e-10,3,4,11.215093853883445,6.0094850868918
0,2,50,0.20035071135498583,9.290548640821097e-06,0.0019492606530829677,0.009729242486337992,False,3,0,0.0010563338981545876,4.9565177933971025,7.05830217974814e-08,-8.972972418178054e-10,3,4,9.078265129588544,3.939319049939513
5,0,50,15.267472997773439,65.48146547813539,827.2415451455504,54.18326564364599,True,3,0,0.0676053694818936,774.7897278268571,9.94767633826945e-07,1.279484989099468e-07,3,4,7.026216635014862,1.8150169337168336
5,1,50,15.267472997773439,65.48146547813539,827.2415451455504,54.18326564364599,True,3,0,0.0676053694818936,774.7897278268571,9.94767633826945e-07,1.279484989099468e-07,3,4,7.06609413633123,1.7644822751171887
5,2,50,15.267472997773439,65.48146547813539,827.2415451455504,54.18326564364599,True,3,0,0.0676053694818936,774.7897278268571,9.94767633826945e-07,1.279484989099468e-07,3,4,7.231384709011763,1.7661425760015845
6,0,50,0.026323252357542515,0.214451230608928,0.849299221893405,32.26422063495705,True,3,6,6.602086863466173e-05,10730.459964906671,3.214864164470257e-05,8.383465910467171e-09,3,10,10.968227117322385,1.7506373981013894
6,1,50,0.026323252357542515,0.214451230608928,0.849299221893405,32.26422063495705,True,3,6,6.602086863466173e-05,10730.459964906671,3.214864164470257e-05,8.383465910467171e-09,3,10,10.88439255906269,1.811874272301793
6,2,50,0.026323252357542515,0.214451230608928,0.849299221893405,32.26422063495705,True,3,6,6.602086863466173e-05,10730.459964906671,3.214864164470257e-05,8.383465910467171e-09,3,10,10.98268927494064,1.8237079288810492
