# algo=mfree_shifted_cg problem=/tmp/prism-speed-novelty/inputs/ladybug-539.txt
iter,cost,wall_s
0,5535080.1182407327,0.0000
1,334274.1083714687,0.0121
2,209212.6019679425,0.0227
3,183913.9930805201,0.0377
4,171708.1444658751,0.0445
5,167145.0580821304,0.0520
6,165769.5343602905,0.0719
7,165258.1810514428,0.0824
