capture_rep,arm,repetitions,valid,cost_median,cost_min,cost_max,accepted_decrease_median,accepted_decrease_min,accepted_decrease_max,accepted_decrease_per_cpu_second_median,accepted_decrease_per_cpu_second_min,accepted_decrease_per_cpu_second_max,cpu_total_seconds_median,cpu_total_seconds_min,cpu_total_seconds_max,refinement_corrections,accepted_steps
0,lm1,3,3,246323.51460543816,246323.51460543816,246323.51460543816,35.50997686077608,35.50997686077608,35.50997686077608,12.053944407524773,6.192268320665012,12.102505406239288,2.945921738166362,2.9341013012453914,5.7345668859779835,0,3
0,lm2,3,3,246322.09617016232,246322.09617016232,246322.09617016232,36.92841213662177,36.92841213662177,36.92841213662177,6.270588955893326,6.23923623132999,6.281918813014646,5.8891457240097225,5.878524259198457,5.9187392122112215,0,6
0,ros2,3,3,246323.47876678317,246323.47876678317,246323.47876678317,35.54581551576848,35.54581551576848,35.54581551576848,10.790480486370653,10.678202472677988,10.791390791917166,3.294182827230543,3.293904947116971,3.3288201461546123,0,3
1,lm1,3,3,244946.80419075463,244946.80419075463,244946.80419075463,0.03486217182944529,0.03486217182944529,0.03486217182944529,0.011884600335978567,0.011812746509170365,0.011892537890079654,2.933390340767801,2.9314324790611863,2.951233381871134,0,3
1,lm2,3,3,244946.7745358123,244946.7745358123,244946.7745358123,0.06451711416593753,0.06451711416593753,0.06451711416593753,0.010995132125667826,0.0109283234175113,0.011012056821258307,5.867788893170655,5.858770546969026,5.903660763055086,0,6
1,ros2,3,3,244946.83905292646,244946.83905292646,244946.83905292646,0.0,0.0,0.0,0.0,0.0,0.0,3.339716692920774,3.324365042615682,3.354977580718696,3,0
2,lm1,3,3,246402.39549763832,246402.39549763832,246402.39549763832,1.2992380402574781,1.2992380402574781,1.2992380402574781,0.4425300370895118,0.44103299490760345,0.44536921797823437,2.935931872110814,2.9172156220301986,2.9458975978195667,0,3
2,lm2,3,3,246401.457809018,246401.457809018,246401.457809018,2.2369266605819575,2.2369266605819575,2.2369266605819575,0.38192587690983554,0.3792149020885016,0.38246392435745974,5.85696543706581,5.8487259009853005,5.898836380802095,0,6
2,ros2,3,3,246402.8335849384,246402.8335849384,246402.8335849384,0.8611507401801646,0.8611507401801646,0.8611507401801646,0.2613283776235744,0.26056708042859245,0.2620046508322426,3.2952821580693126,3.2867765417322516,3.3049099631607533,0,3
