# algo=mfree_shifted_cg problem=/tmp/prism-speed-novelty/inputs/trafalgar-138.txt
iter,cost,wall_s
0,20163569.0159171969,0.0000
1,846597.3010421095,0.0072
2,172504.9855086431,0.0133
3,120372.0808850376,0.0264
4,109724.5909274011,0.0337
5,106778.3183733962,0.0579
6,106230.0638709270,0.0661
7,105493.0705523864,0.0701
8,104518.5262234702,0.1278
9,103827.6691757340,0.1812
10,103407.4336870071,0.2327
