scene,capture_rep,arm,repetitions,valid_runs,accepted_runs,rescued_binary_rejection_runs,score_init_checks,direct_separable_cost_checks,no_worse_cost_checks,point_displacement_bound_checks,camera_radius_bound_checks,cost_median,cost_range,true_decrease_median,true_decrease_range,prediction_median,prediction_range,rho_median,rho_range,score_init_median,score_init_range,additional_decrease_vs_binary_median,additional_decrease_vs_binary_range,cost_delta_pct_vs_binary_median,cost_delta_pct_vs_binary_range,point_selection_seconds_median,point_selection_seconds_range,camera_selection_seconds_median,camera_selection_seconds_range,cpu_scoring_audit_seconds_median,cpu_scoring_audit_seconds_range,cpu_total_seconds_median,cpu_total_seconds_range,point_keep_count_median,point_keep_count_range,point_quarter_count_median,point_quarter_count_range,point_half_count_median,point_half_count_range,point_full_count_median,point_full_count_range,camera_keep_count_median,camera_keep_count_range,camera_scaled_norm_median,camera_scaled_norm_range,maximum_point_displacement_median,maximum_point_displacement_range,large_moves_inward_median,large_moves_inward_range,large_moves_outward_median,large_moves_outward_range,front_to_behind_observations_median,front_to_behind_observations_range,behind_to_front_observations_median,behind_to_front_observations_range
final-3068,0,binary,3,3,3,0,True,True,True,True,True,1831858.8176358275,"[1831858.8176358275, 1831858.8176358275]",0.2003507218565983,"[0.2003507218565983, 0.2003507218565983]",0.3418714772390352,"[0.3418714772390352, 0.3418714772390352]",0.58604105693355,"[0.58604105693355, 0.58604105693355]",1831859.0179865493,"[1831859.0179865493, 1831859.0179865493]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.5852721058763564,"[0.5847102757543325, 0.6898340689949691]",0.001983970869332552,"[0.001981650944799185, 0.0020166109316051006]",0.8627776261419058,"[0.8480307590216398, 0.8706392799504101]",1.4684196729213,"[1.4549414259381592, 1.5935835759155452]",40562,"[40562, 40562]",0,"[0, 0]",0,"[0, 0]",270292,"[270292, 270292]",0,"[0, 0]",0.0010563338981545876,"[0.0010563338981545876, 0.0010563338981545876]",3.1230578903812886e-06,"[3.1230578903812886e-06, 3.1230578903812886e-06]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]"
final-3068,0,point_fractions,3,3,3,0,True,True,True,True,True,1831858.817635816,"[1831858.817635816, 1831858.817635816]",0.2003507332683412,"[0.2003507332683412, 0.2003507332683412]",0.34187147235615545,"[0.34187147235615545, 0.34187147235615545]",0.5860410986840677,"[0.5860410986840677, 0.5860410986840677]",1831859.0179865493,"[1831859.0179865493, 1831859.0179865493]",1.1411742911748846e-08,"[1.1411742911748846e-08, 1.1411742911748846e-08]",-6.217248937900877e-13,"[-6.217248937900877e-13, -6.217248937900877e-13]",1.1254562390968204,"[1.093622513115406, 1.4944182359613478]",0.001992350909858942,"[0.0019878409802913666, 0.002040310762822628]",0.8601517649367452,"[0.8404959249310195, 0.898199844174087]",2.005846094340086,"[1.9543594978749752, 2.425147325731814]",19932,"[19932, 19932]",25838,"[25838, 25838]",36412,"[36412, 36412]",228672,"[228672, 228672]",0,"[0, 0]",0.0010563338981545876,"[0.0010563338981545876, 0.0010563338981545876]",3.1230578903812886e-06,"[3.1230578903812886e-06, 3.1230578903812886e-06]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]"
final-3068,0,point_then_camera,3,3,3,0,True,True,True,True,True,1831858.8176358275,"[1831858.8176358275, 1831858.8176358275]",0.2003507218565983,"[0.2003507218565983, 0.2003507218565983]",0.3418714772390352,"[0.3418714772390352, 0.3418714772390352]",0.58604105693355,"[0.58604105693355, 0.58604105693355]",1831859.0179865493,"[1831859.0179865493, 1831859.0179865493]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.583765335381031,"[0.5687291179783642, 0.5951362107880414]",0.5419944240711629,"[0.5138184200040996, 0.5773692517541349]",0.8488515689969063,"[0.825227236840874, 0.9007051750086248]",1.9825178920291364,"[1.9424033309333026, 2.0971909211948514]",40562,"[40562, 40562]",0,"[0, 0]",0,"[0, 0]",270292,"[270292, 270292]",0,"[0, 0]",0.0010563338981545876,"[0.0010563338981545876, 0.0010563338981545876]",3.1230578903812886e-06,"[3.1230578903812886e-06, 3.1230578903812886e-06]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]"
final-3068,5,binary,3,3,3,0,True,True,True,True,True,1866059.4246403978,"[1866059.4246403978, 1866059.4246403978]",26.011399097375023,"[26.011399097375023, 26.011399097375023]",32.31563856154667,"[32.31563856154667, 32.31563856154667]",0.8049167602810966,"[0.8049167602810966, 0.8049167602810966]",1866085.436039495,"[1866085.436039495, 1866085.436039495]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.5672239260748029,"[0.5640309047885239, 0.5841565248556435]",0.0019800812005996704,"[0.0019797608256340027, 0.001997821033000946]",0.8660419783554971,"[0.8574263039045036, 0.8792061638087034]",1.4512572442181408,"[1.450521932914853, 1.4856130806729198]",31,"[31, 31]",0,"[0, 0]",0,"[0, 0]",310823,"[310823, 310823]",0,"[0, 0]",0.06760536948189357,"[0.06760536948189357, 0.06760536948189357]",0.0038649381822001942,"[0.0038649381822001942, 0.0038649381822001942]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]"
final-3068,5,point_fractions,3,3,3,0,True,True,True,True,True,1866059.075025803,"[1866059.075025803, 1866059.075025803]",26.361013692179398,"[26.361013692179398, 26.361013692179398]",38.6336048785645,"[38.6336048785645, 38.6336048785645]",0.6823337810447393,"[0.6823337810447393, 0.6823337810447393]",1866085.436039495,"[1866085.436039495, 1866085.436039495]",0.3496145948043754,"[0.3496145948043754, 0.3496145948043754]",-1.8735448092943585e-05,"[-1.8735448092943585e-05, -1.8735448092943585e-05]",1.1441766079515219,"[1.1400116956792772, 1.1652079690247774]",0.0020163008011877537,"[0.0020013698376715183, 0.0020181406289339066]",0.856812453828752,"[0.8404190349392593, 0.8602844052948058]",2.0297820172272623,"[2.0007263710722327, 2.046794645022601]",18,"[18, 18]",33,"[33, 33]",73,"[73, 73]",310730,"[310730, 310730]",0,"[0, 0]",0.06760536948189357,"[0.06760536948189357, 0.06760536948189357]",0.0038649381822001942,"[0.0038649381822001942, 0.0038649381822001942]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]"
final-3068,5,point_then_camera,3,3,3,0,True,True,True,True,True,1866059.4246403978,"[1866059.4246403978, 1866059.4246403978]",26.011399097375023,"[26.011399097375023, 26.011399097375023]",32.31563856154667,"[32.31563856154667, 32.31563856154667]",0.8049167602810966,"[0.8049167602810966, 0.8049167602810966]",1866085.436039495,"[1866085.436039495, 1866085.436039495]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.5823137448169291,"[0.5283149667084217, 0.6167507218196988]",0.5746297896839678,"[0.5307721178978682, 0.610846608877182]",0.8509685299359262,"[0.8182499739341438, 0.8601256939582527]",2.0299740061163902,"[1.8957608886994421, 2.1084948261268437]",31,"[31, 31]",0,"[0, 0]",0,"[0, 0]",310823,"[310823, 310823]",0,"[0, 0]",0.06760536948189357,"[0.06760536948189357, 0.06760536948189357]",0.0038649381822001942,"[0.0038649381822001942, 0.0038649381822001942]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]"
final-3068,6,binary,3,3,3,0,True,True,True,True,True,1951880.0899795687,"[1951880.0899795687, 1951880.0899795687]",0.03715001254818285,"[0.03715001254818285, 0.03715001254818285]",0.040047961798540394,"[0.040047961798540394, 0.040047961798540394]",0.927638033991953,"[0.927638033991953, 0.927638033991953]",1951880.1271295813,"[1951880.1271295813, 1951880.1271295813]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.5396349532529712,"[0.5389867420308292, 0.5619279039092362]",0.001979860942810774,"[0.0019766208715736866, 0.0019817110151052475]",0.8454260467551649,"[0.8315834808163345, 0.84720149775967]",1.4118016441352665,"[1.4065492409281433, 1.4154693549498916]",79087,"[79087, 79087]",0,"[0, 0]",0,"[0, 0]",231767,"[231767, 231767]",0,"[0, 0]",6.602086863466171e-05,"[6.602086863466171e-05, 6.602086863466171e-05]",0.0026957560276442464,"[0.0026957560276442464, 0.0026957560276442464]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]"
final-3068,6,point_fractions,3,3,3,0,True,True,True,True,True,1951880.0836786143,"[1951880.0836786143, 1951880.0836786143]",0.0434509668586146,"[0.0434509668586146, 0.0434509668586146]",0.06940688951177351,"[0.06940688951177351, 0.06940688951177351]",0.6260324755115845,"[0.6260324755115845, 0.6260324755115845]",1951880.1271295813,"[1951880.1271295813, 1951880.1271295813]",0.006300954310431747,"[0.006300954310431747, 0.006300954310431747]",-3.2281461948002743e-07,"[-3.2281461948002743e-07, -3.2281461948002743e-07]",1.1203063260763884,"[1.0982727850787342, 1.134064163081348]",0.001985131297260523,"[0.001983871217817068, 0.0019867909140884876]",0.8437259369529784,"[0.8408833052963018, 0.8450923678465188]",1.9893723158165812,"[1.960775421001017, 2.0045628040097654]",39417,"[39417, 39417]",44523,"[44523, 44523]",52365,"[52365, 52365]",174549,"[174549, 174549]",0,"[0, 0]",6.602086863466171e-05,"[6.602086863466171e-05, 6.602086863466171e-05]",0.0026957560276442464,"[0.0026957560276442464, 0.0026957560276442464]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]"
final-3068,6,point_then_camera,3,3,3,0,True,True,True,True,True,1951880.0899795687,"[1951880.0899795687, 1951880.0899795687]",0.03715001254818285,"[0.03715001254818285, 0.03715001254818285]",0.040047961798540394,"[0.040047961798540394, 0.040047961798540394]",0.927638033991953,"[0.927638033991953, 0.927638033991953]",1951880.1271295813,"[1951880.1271295813, 1951880.1271295813]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.5357038308866322,"[0.5343228001147509, 0.5388790518045425]",0.5266902060247958,"[0.5264570158906281, 0.5305471778847277]",0.8284340188838542,"[0.8254167870618403, 0.8337059421464801]",1.9147442081011832,"[1.9123718161135912, 1.9151906981132925]",79087,"[79087, 79087]",0,"[0, 0]",0,"[0, 0]",231767,"[231767, 231767]",0,"[0, 0]",6.602086863466171e-05,"[6.602086863466171e-05, 6.602086863466171e-05]",0.0026957560276442464,"[0.0026957560276442464, 0.0026957560276442464]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]",0,"[0, 0]"
