operator,rep,pAp,quotient
stored_repeat,0,-12.842398456496063,-2.1053068148230983e-09
stored_repeat,1,-12.84239845649595,-2.1053068148230797e-09
stored_repeat,2,-12.84239845649639,-2.1053068148231517e-09
stored_repeat,3,-12.842398456496021,-2.1053068148230913e-09
stored_repeat,4,-12.842398456496134,-2.1053068148231099e-09
stored,0,-12.842398456496149,-2.105306814823112e-09
W32_R32qr,0,-12.842398456514264,-2.105306814826082e-09
W64_Rstored,0,260.9531061591307,4.2779108171042419e-08
W32_R64qr,0,-12.864576567503448,-2.1089425631143476e-09
W64_R64qr,0,260.953059074588,4.2779100452281085e-08
