arm,rep,lambda,tau,raw_norm,radius,cost,decrease,prediction,rho,iterations,residual,certified,root_updates,fallback,guard_ratio,guard_pass,seconds
eta2_saved,0,8.9235248552104293e-07,8.9235248552104293e-07,0,6450.7051792593411,246358.4775644847,0.54701781424228102,0.69530281535142358,0.78673320769714472,0,0,0,0,0,0,1,0
reference_raw,0,8.9235248552104293e-07,8.9235248552104293e-07,1164.9592564532136,6450.7051792593411,246323.51460543275,35.50997686618939,36.6327675311191,0.96935009990779664,243,9.0341164950803513e-11,1,0,0,0,1,0.54645895099999997
reference_clip,0,8.9235248552104293e-07,8.9235248552104293e-07,1164.9592564532136,6450.7051792593411,246323.51460543278,35.509976866160287,36.632767531119107,0.96935009990700205,243,9.0341164950803513e-11,1,0,0,0,1,0.54798076200000001
lambda_coupled,0,8.9235248552104293e-07,8.9235248552104293e-07,1164.9592564532136,6450.7051792593411,246323.51460543275,35.50997686618939,36.6327675311191,0.96935009990779664,243,9.0341164950803513e-11,1,0,0,0,1,0.52715773899999996
lambda_frozen_tau,0,8.9235248552104293e-07,8.9235248552104293e-07,1164.9592564532136,6450.7051792593411,246323.51460543278,35.509976866160287,36.632767531119114,0.96935009990700183,243,9.0341164950803513e-11,1,0,0,0,1,0.53129329199999997
geodesic_guarded,0,8.9235248552104293e-07,8.9235248552104293e-07,1165.4438221334506,6450.7051792593411,246322.62301995532,36.401562343613477,35.701298282862481,1.0196145264859218,130,6.9446604159929873e-11,1,0,0,0.013165879173062899,1,0.28974100600000002
reference_raw,1,8.9235248552104293e-07,8.9235248552104293e-07,1164.9592564532136,6450.7051792593411,246323.51460543278,35.509976866160287,36.6327675311191,0.96935009990700216,243,9.0341164950803513e-11,1,0,0,0,1,0.532474962
reference_clip,1,8.9235248552104293e-07,8.9235248552104293e-07,1164.9592564532136,6450.7051792593411,246323.51460543281,35.509976866131183,36.632767531119086,0.96935009990620813,243,9.0341164950803513e-11,1,0,0,0,1,0.53400844300000005
lambda_coupled,1,8.9235248552104293e-07,8.9235248552104293e-07,1164.9592564532136,6450.7051792593411,246323.51460543281,35.509976866131183,36.632767531119129,0.96935009990620702,243,9.0341164950803513e-11,1,0,0,0,1,0.52769608000000001
lambda_frozen_tau,1,8.9235248552104293e-07,8.9235248552104293e-07,1164.9592564532136,6450.7051792593411,246323.51460543278,35.509976866160287,36.632767531119107,0.96935009990700205,243,9.0341164950803513e-11,1,0,0,0,1,0.52820619999999996
geodesic_guarded,1,8.9235248552104293e-07,8.9235248552104293e-07,1165.4438221334506,6450.7051792593411,246322.6230199553,36.401562343642581,35.701298282862453,1.0196145264867378,130,6.9446604159929873e-11,1,0,0,0.013165879173062899,1,0.29529865999999999
reference_raw,2,8.9235248552104293e-07,8.9235248552104293e-07,1164.9592564532136,6450.7051792593411,246323.51460543278,35.509976866160287,36.6327675311191,0.96935009990700216,243,9.0341164950803513e-11,1,0,0,0,1,0.53305604299999998
reference_clip,2,8.9235248552104293e-07,8.9235248552104293e-07,1164.9592564532136,6450.7051792593411,246323.51460543275,35.50997686618939,36.632767531119093,0.96935009990779686,243,9.0341164950803513e-11,1,0,0,0,1,0.53458438399999997
lambda_coupled,2,8.9235248552104293e-07,8.9235248552104293e-07,1164.9592564532136,6450.7051792593411,246323.51460543278,35.509976866160287,36.632767531119093,0.96935009990700238,243,9.0341164950803513e-11,1,0,0,0,1,0.52767131899999997
lambda_frozen_tau,2,8.9235248552104293e-07,8.9235248552104293e-07,1164.9592564532136,6450.7051792593411,246323.51460543281,35.509976866131183,36.632767531119107,0.96935009990620757,243,9.0341164950803513e-11,1,0,0,0,1,0.52809883899999999
geodesic_guarded,2,8.9235248552104293e-07,8.9235248552104293e-07,1165.4438221334506,6450.7051792593411,246322.62301995532,36.401562343613477,35.701298282862481,1.0196145264859218,130,6.9446604159929873e-11,1,0,0,0.013165879173062899,1,0.28992701599999998
