arm,binary_sha256,cost,endpoint_audit,evidence,hit,host,input_sha256,native_seconds,native_trace_min,rep,scene,source,target,target_seconds,timing_kind,valid
Caspar32 default / 2000,84e16ac1872115faaac9b3847101c3a59373dab5ad08f1dc1349c2248c1615c6,2645825.877059241,banked driver FP64,banked,False,Codex,f6bd559b2e0316e177742ebf73bd5311766e8a40ccca2628bfe29cd5989de481,0.696027742,2634426.5,2,final-3068,banked/caspar32/final-3068-caspar32-default-2000-2.json,1744796.9841897595,,endpoint only; native trace is FP32,True
Caspar32 default / 2000,84e16ac1872115faaac9b3847101c3a59373dab5ad08f1dc1349c2248c1615c6,2649272.8651278503,banked driver FP64,banked,False,Codex,f6bd559b2e0316e177742ebf73bd5311766e8a40ccca2628bfe29cd5989de481,0.672603969,2635070.5,3,final-3068,banked/caspar32/final-3068-caspar32-default-2000-3.json,1744796.9841897595,,endpoint only; native trace is FP32,True
Caspar32 paper / 200,84e16ac1872115faaac9b3847101c3a59373dab5ad08f1dc1349c2248c1615c6,2031893.9300910356,banked driver FP64,banked,False,Codex,f6bd559b2e0316e177742ebf73bd5311766e8a40ccca2628bfe29cd5989de481,1.017061495,2005821.25,1,final-3068,banked/caspar32/final-3068-caspar32-paper-200-1.json,1744796.9841897595,,endpoint only; native trace is FP32,True
Caspar32 paper / 200,84e16ac1872115faaac9b3847101c3a59373dab5ad08f1dc1349c2248c1615c6,2039539.248613846,banked driver FP64,banked,False,Codex,f6bd559b2e0316e177742ebf73bd5311766e8a40ccca2628bfe29cd5989de481,0.74594739,2017342.875,2,final-3068,banked/caspar32/final-3068-caspar32-paper-200-2.json,1744796.9841897595,,endpoint only; native trace is FP32,True
Caspar32 paper / 200,84e16ac1872115faaac9b3847101c3a59373dab5ad08f1dc1349c2248c1615c6,2043660.9554927894,banked driver FP64,banked,False,Codex,f6bd559b2e0316e177742ebf73bd5311766e8a40ccca2628bfe29cd5989de481,0.771994754,2017344.125,3,final-3068,banked/caspar32/final-3068-caspar32-paper-200-3.json,1744796.9841897595,,endpoint only; native trace is FP32,True
Caspar32 paper / 2000,84e16ac1872115faaac9b3847101c3a59373dab5ad08f1dc1349c2248c1615c6,2043646.6502303416,banked driver FP64,banked,False,Codex,f6bd559b2e0316e177742ebf73bd5311766e8a40ccca2628bfe29cd5989de481,0.760547923,2017334.625,1,final-3068,banked/caspar32/final-3068-caspar32-paper-2000-1.json,1744796.9841897595,,endpoint only; native trace is FP32,True
Caspar32 paper / 2000,84e16ac1872115faaac9b3847101c3a59373dab5ad08f1dc1349c2248c1615c6,2039563.1147772367,banked driver FP64,banked,False,Codex,f6bd559b2e0316e177742ebf73bd5311766e8a40ccca2628bfe29cd5989de481,0.748021626,2017371.75,2,final-3068,banked/caspar32/final-3068-caspar32-paper-2000-2.json,1744796.9841897595,,endpoint only; native trace is FP32,True
Caspar32 paper / 2000,84e16ac1872115faaac9b3847101c3a59373dab5ad08f1dc1349c2248c1615c6,2041578.7998365622,banked driver FP64,banked,False,Codex,f6bd559b2e0316e177742ebf73bd5311766e8a40ccca2628bfe29cd5989de481,0.837119645,2016323.125,3,final-3068,banked/caspar32/final-3068-caspar32-paper-2000-3.json,1744796.9841897595,,endpoint only; native trace is FP32,True
Caspar32 default / 200,84e16ac1872115faaac9b3847101c3a59373dab5ad08f1dc1349c2248c1615c6,11035627.090573825,banked driver FP64,banked,,Codex,d5e0ea06a364d7a7b5b087ab3c9d53c97dbbcd6c7d3984b62428185e66b9dd54,13.971970579,11035492.0,1,final-4585,banked/caspar32/final-4585-caspar32-default-200-1.json,,,endpoint only; native trace is FP32,True
Caspar32 default / 2000,84e16ac1872115faaac9b3847101c3a59373dab5ad08f1dc1349c2248c1615c6,8942006.457441239,banked driver FP64,banked,,Codex,d5e0ea06a364d7a7b5b087ab3c9d53c97dbbcd6c7d3984b62428185e66b9dd54,128.38969481,8941849.0,1,final-4585,banked/caspar32/final-4585-caspar32-default-2000-1.json,,,endpoint only; native trace is FP32,True
Caspar32 paper / 200,84e16ac1872115faaac9b3847101c3a59373dab5ad08f1dc1349c2248c1615c6,16932055.54527567,banked driver FP64,banked,,Codex,d5e0ea06a364d7a7b5b087ab3c9d53c97dbbcd6c7d3984b62428185e66b9dd54,9.591283038,16931890.0,1,final-4585,banked/caspar32/final-4585-caspar32-paper-200-1.json,,,endpoint only; native trace is FP32,True
Caspar32 paper / 2000,84e16ac1872115faaac9b3847101c3a59373dab5ad08f1dc1349c2248c1615c6,16180977.596527042,banked driver FP64,banked,,Codex,d5e0ea06a364d7a7b5b087ab3c9d53c97dbbcd6c7d3984b62428185e66b9dd54,20.375166903,16180832.0,1,final-4585,banked/caspar32/final-4585-caspar32-paper-2000-1.json,,,endpoint only; native trace is FP32,True
Caspar32 paper / 2000,84e16ac1872115faaac9b3847101c3a59373dab5ad08f1dc1349c2248c1615c6,15420314.379615955,banked driver FP64,banked,,Codex,d5e0ea06a364d7a7b5b087ab3c9d53c97dbbcd6c7d3984b62428185e66b9dd54,86.989237741,15420167.0,2,final-4585,banked/caspar32/final-4585-caspar32-paper-2000-2.json,,,endpoint only; native trace is FP32,True
