arm,rep,cost,secs
long300,1,241656.3262769006,30.035174
long300deep,1,241602.4178932676,31.034057
long300,2,241637.5126658071,29.174901
long300deep,2,241620.3436563309,29.996852
long300,3,241636.6044502138,30.611204
long300deep,3,241619.7025321310,30.103820
V52BASIN_DONE
