arm,rep,lambda,tau,raw_norm,radius,cost,decrease,prediction,rho,iterations,residual,certified,root_updates,fallback,guard_ratio,guard_pass,seconds
eta2_saved,0,7752.1996249978547,7752.1996249978547,0,0.0010563338981545876,1831858.817635837,0.20035071135498583,0.34187148127250105,0.58604101930131181,0,0,0,0,0,0,1,0
reference_raw,0,7752.1996249978547,7752.1996249978547,0.04151401676432985,0.0010563338981545876,1832077.775066501,-218.75707995262928,13.363165336701487,-16.370154408837575,2,4.9617523301007537e-16,1,0,0,0,1,0.060371200999999999
reference_clip,0,7752.1996249978547,7752.1996249978547,0.04151401676432985,0.0010563338981545876,1831858.8176358375,0.20035071088932455,0.34187148127255595,0.58604101793912311,2,4.9617523301007537e-16,1,0,0,0,1,0.068201406000000006
lambda_coupled,0,406216.18569004844,406216.18569004844,0.00079237336868326542,0.0010563338981545876,1831858.8426262906,0.17536025773733854,0.25508106221121596,0.68746874510085809,3,1.8521255017244962e-12,1,1,0,0,1,0.072532918000000002
lambda_frozen_tau,0,406216.18569004844,7752.1996249978547,0.00079237331124379546,0.0010563338981545876,1831858.8406091551,0.1773773932363838,0.25690925305772527,0.6904282003284975,3,9.7010559148192317e-11,1,1,0,0,1,0.067841355000000006
geodesic_guarded,0,7752.1996249978547,7752.1996249978547,0.0010563932463158422,0.0010563338981545876,1831858.8176354226,0.20035112579353154,0.34187150907067371,0.58604218391335372,2,3.625275476043153e-15,1,0,0,0.00015393466956906626,1,0.060230770000000003
reference_raw,1,7752.1996249978547,7752.1996249978547,0.04151401676432985,0.0010563338981545876,1832077.775066501,-218.75707995262928,13.363165336701488,-16.370154408837571,2,4.9617523301007537e-16,1,0,0,0,1,0.059858689999999999
reference_clip,1,7752.1996249978547,7752.1996249978547,0.04151401676432985,0.0010563338981545876,1831858.8176358375,0.20035071088932455,0.34187148127255595,0.58604101793912311,2,4.9617523301007537e-16,1,0,0,0,1,0.067688894999999999
lambda_coupled,1,406216.18569004844,406216.18569004844,0.00079237336868326542,0.0010563338981545876,1831858.8426262909,0.1753602575045079,0.2550810622112159,0.68746874418808701,3,1.8521255017244962e-12,1,1,0,0,1,0.072621108000000004
lambda_frozen_tau,1,406216.18569004844,7752.1996249978547,0.00079237331124379546,0.0010563338981545876,1831858.8406091551,0.1773773932363838,0.25690925305772522,0.69042820032849761,3,9.7010559148192317e-11,1,1,0,0,1,0.067877325000000002
geodesic_guarded,1,7752.1996249978547,7752.1996249978547,0.0010563932463158422,0.0010563338981545876,1831858.8176354226,0.20035112579353154,0.34187150907067371,0.58604218391335372,2,3.625275476043153e-15,1,0,0,0.00015393466956906626,1,0.058665449000000001
reference_raw,2,7752.1996249978547,7752.1996249978547,0.04151401676432985,0.0010563338981545876,1832077.775066501,-218.75707995262928,13.363165336701487,-16.370154408837575,2,4.9617523301007537e-16,1,0,0,0,1,0.059773779999999999
reference_clip,2,7752.1996249978547,7752.1996249978547,0.04151401676432985,0.0010563338981545876,1831858.8176358375,0.20035071088932455,0.34187148127255595,0.58604101793912311,2,4.9617523301007537e-16,1,0,0,0,1,0.067604214999999995
lambda_coupled,2,406216.18569004844,406216.18569004844,0.00079237336868326542,0.0010563338981545876,1831858.8426262909,0.1753602575045079,0.25508106221121596,0.6874687441880869,3,1.8521255017244962e-12,1,1,0,0,1,0.072609268000000005
lambda_frozen_tau,2,406216.18569004844,7752.1996249978547,0.00079237331124379546,0.0010563338981545876,1831858.8406091549,0.17737739346921444,0.25690925305772522,0.69042820123477344,3,9.7010559148192317e-11,1,1,0,0,1,0.067866764999999996
geodesic_guarded,2,7752.1996249978547,7752.1996249978547,0.0010563932463158422,0.0010563338981545876,1831858.8176354228,0.20035112556070089,0.34187150907067365,0.58604218323230661,2,3.625275476043153e-15,1,0,0,0.00015393466956906626,1,0.058659689000000001
