stage,cell,scene,arm,rep,target,score_init,cost,hit,target_seconds,native_seconds,outers,accepts,rejects,pcg_per_outer,retry_fraction_native,max_raw_radius_ratio,negcurv,cap_hit,source
final,final-3068,final-3068,off,1,1744796.9841897595,90993342.02434024,1740991.2079789557,True,3.7925,3.816534,61,61,7,3.639344262295082,0.07777590400085521,1069.4165679826883,1,False,evidence/final/final-3068-off-1
final,final-3068,final-3068,off,2,1744796.9841897595,90993342.02434023,1743710.8149158503,True,2.724,2.747599,47,47,3,4.361702127659575,0.05270835154620451,144.6153785453645,1,False,evidence/final/final-3068-off-2
final,final-3068,final-3068,forcing_reject,2,1744796.9841897595,90993342.02434024,1730835.9433674128,True,5.0992,5.122954,80,80,7,4.65,0.05965479389430395,116.15978536186265,1,False,evidence/final/final-3068-forcing_reject-2
final,final-3068,final-3068,accurate_reference,2,1744796.9841897595,90993342.02434023,1831170.8546889892,False,,5.545681,92,92,14,1.858695652173913,0.09077238034427151,2122.4363445656,1,False,evidence/final/final-3068-accurate_reference-2
final,final-3068,final-3068,accurate_reference,3,1744796.9841897595,90993342.02434024,1730541.037320919,True,3.1306,3.15448,47,47,5,6.170212765957447,0.053660777370596734,100.01266856685295,1,False,evidence/final/final-3068-accurate_reference-3
final,final-3068,final-3068,forcing_reject,3,1744796.9841897595,90993342.02434024,1741644.8091310083,True,5.3272,5.351632,107,107,6,2.4766355140186915,0.042987574444580644,24571.787300846914,2,False,evidence/final/final-3068-forcing_reject-3
final,final-3068,final-3068,off,3,1744796.9841897595,90993342.02434023,1740754.6400751579,True,1.5434,1.567706,25,25,1,5.52,0.03777324830038285,32.388521983228,1,False,evidence/final/final-3068-off-3
final,final-3068,final-3068,off,4,1744796.9841897595,90993342.02434023,1735819.8403858927,True,2.6427,2.666145,42,42,3,6.0,0.044782570715396194,23.02493997439371,1,False,evidence/final/final-3068-off-4
final,final-3068,final-3068,forcing_reject,4,1744796.9841897595,90993342.02434024,1898801.0098830147,False,,2.878806,46,46,13,2.3260869565217392,0.1578135938996931,189991.01747661617,0,False,evidence/final/final-3068-forcing_reject-4
final,final-3068,final-3068,accurate_reference,4,1744796.9841897595,90993342.02434024,1741686.0972155698,True,4.5347,4.558497,73,73,8,3.095890410958904,0.07102762994030709,375.79784986089015,1,False,evidence/final/final-3068-accurate_reference-4
practical,ladybug-539-1.005,ladybug-539,off,0,164797.8493852759,5535080.118240732,164531.7943595046,True,0.0907,0.108068,9,9,0,4.777777777777778,0.0,0.8039813179237439,0,False,evidence/practical/ladybug-539-1.005-off-0
practical,ladybug-539-1.005,ladybug-539,forcing_reject,0,164797.8493852759,5535080.118240732,164644.45900487577,True,0.1104,0.128355,9,9,1,6.333333333333333,0.054191765026683804,1.1163741412721082,0,False,evidence/practical/ladybug-539-1.005-forcing_reject-0
practical,ladybug-539-1.005,ladybug-539,accurate_reference,0,164797.8493852759,5535080.118240733,164685.9315015993,True,0.1295,0.147516,8,8,0,5.75,0.0,0.737018781354401,0,False,evidence/practical/ladybug-539-1.005-accurate_reference-0
practical,ladybug-539-1.01,ladybug-539,off,0,165617.73918321263,5535080.118240733,165514.08261312434,True,0.0625,0.093808,6,6,0,6.0,0.0,0.8039813180082035,0,False,evidence/practical/ladybug-539-1.01-off-0
practical,ladybug-539-1.01,ladybug-539,forcing_reject,0,165617.73918321263,5535080.118240731,165258.18105144292,True,0.082,0.099496,7,7,1,7.714285714285714,0.06274497467234863,1.1163741412729276,0,False,evidence/practical/ladybug-539-1.01-forcing_reject-0
practical,ladybug-539-1.01,ladybug-539,accurate_reference,0,165617.73918321263,5535080.118240731,164685.93149161883,True,0.1283,0.157072,8,8,0,5.75,0.0,0.737018781411448,0,False,evidence/practical/ladybug-539-1.01-accurate_reference-0
practical,ladybug-539-1.02,ladybug-539,off,0,167257.518779086,5535080.118240734,165514.08261311636,True,0.0621,0.079981,6,6,0,6.0,0.0,0.8039813179305202,0,False,evidence/practical/ladybug-539-1.02-off-0
practical,ladybug-539-1.02,ladybug-539,forcing_reject,0,167257.518779086,5535080.118240731,167145.05808213042,True,0.0517,0.06973,5,5,0,5.8,0.0,0.5343419888951593,0,False,evidence/practical/ladybug-539-1.02-forcing_reject-0
practical,ladybug-539-1.02,ladybug-539,accurate_reference,0,167257.518779086,5535080.11824073,167145.03321990446,True,0.1089,0.12709,5,5,0,5.8,0.0,0.5343357730986058,0,False,evidence/practical/ladybug-539-1.02-accurate_reference-0
practical,trafalgar-138-1.005,trafalgar-138,off,0,103088.39569543337,20163569.015917197,102905.11281744731,True,0.2955,0.313372,13,13,0,44.84615384615385,0.0,2.06386553581818,0,False,evidence/practical/trafalgar-138-1.005-off-0
practical,trafalgar-138-1.005,trafalgar-138,forcing_reject,0,103088.39569543337,20163569.015917197,102947.61514208792,True,0.2452,0.261518,13,13,0,36.46153846153846,0.0,2.4565433946379396,0,False,evidence/practical/trafalgar-138-1.005-forcing_reject-0
practical,trafalgar-138-1.005,trafalgar-138,accurate_reference,0,103088.39569543337,20163569.015917197,102948.83171648852,True,0.2734,0.293174,13,13,0,36.46153846153846,0.0,2.456358039557967,0,False,evidence/practical/trafalgar-138-1.005-accurate_reference-0
practical,trafalgar-138-1.01,trafalgar-138,off,0,103601.27328595793,20163569.0159172,103407.63742299505,True,0.2318,0.248082,10,10,0,45.3,0.0,2.067313652989556,0,False,evidence/practical/trafalgar-138-1.01-off-0
practical,trafalgar-138-1.01,trafalgar-138,forcing_reject,0,103601.27328595793,20163569.015917197,103245.35090623832,True,0.1845,0.20129,11,11,0,31.363636363636363,0.0,2.4559761780497604,0,False,evidence/practical/trafalgar-138-1.01-forcing_reject-0
practical,trafalgar-138-1.01,trafalgar-138,accurate_reference,0,103601.27328595793,20163569.015917197,103246.91125357347,True,0.2122,0.227955,11,11,0,31.363636363636363,0.0,2.4561435326894236,0,False,evidence/practical/trafalgar-138-1.01-accurate_reference-0
practical,trafalgar-138-1.02,trafalgar-138,off,0,104627.02846700703,20163569.015917197,104518.53093283933,True,0.1277,0.14369,8,8,0,28.125,0.0,1.9130757906458848,0,False,evidence/practical/trafalgar-138-1.02-off-0
