iteration,recursive_relative,true_relative,pAp,seconds
128,7.3768415093454213e-05,7.3768415139272204e-05,4.5517465765699568e-10,0.28145900099999999
256,5.8237667143828693e-07,5.8237663085072512e-07,1.9478989435043547e-14,0.55730883799999997
384,5.5383551183472174e-08,5.5383302935138579e-08,3.1974268092052917e-17,0.833071636
512,2.0123664894745421e-08,2.012352196184396e-08,1.9124911347223107e-17,1.108886743
640,3.5190563707636591e-09,3.5191700059478326e-09,1.0401859130360859e-19,1.38507482
686,9.2765465973910064e-11,9.2696717294218837e-11,1.0582230090105642e-21,1.485869576
