dubrovnik-135,1,483860.7787329834,9.995040
dubrovnik-135,2,483860.5448042110,10.698812
dubrovnik-135,3,483860.7024563398,10.030261
dubrovnik-173,1,380105.9515704286,14.333414
dubrovnik-173,2,380105.7121152334,15.510246
dubrovnik-173,3,380106.0860921407,18.389479
dubrovnik-356,1,690677.8393802104,42.124283
dubrovnik-356,2,690684.2259605972,41.434616
dubrovnik-356,3,690687.4029061302,41.460821
dubrovnik-88,1,357580.3586472083,5.894392
dubrovnik-88,2,357580.2914066092,6.366145
dubrovnik-88,3,357339.3608978567,6.225255
final-1936,1,5050357.5190630099,52.403869
final-1936,2,5050357.5173563585,59.378973
final-1936,3,5050357.5193346050,53.872269
final-3068,1,1716448.9126698382,33.497396
final-3068,2,1719083.2604122560,35.391956
final-3068,3,1718820.1804886339,51.820319
final-4585,1,8316630.1105179796,261.733207
final-4585,2,8316624.1322171623,261.682049
final-4585,3,8316616.2834064541,261.667632
final-93,1,158363.0840912163,7.349975
final-93,2,158363.0840912176,5.846191
final-93,3,158363.0840912191,7.679888
ladybug-1197,1,377449.4292797590,8.052048
ladybug-1197,2,377451.6820281218,8.005224
ladybug-1197,3,377456.1755987756,8.195535
ladybug-1469,1,432187.2481231660,9.402312
ladybug-1469,2,431958.5614376229,9.973180
ladybug-1469,3,431896.0496124533,9.697310
ladybug-1723,1,461897.1440708450,11.486704
ladybug-1723,2,463747.0274832321,13.742971
ladybug-1723,3,461305.4623148622,10.446065
ladybug-49,1,13603.9641221220,0.471858
ladybug-49,2,13603.9637695667,0.471500
ladybug-49,3,13603.9636158558,0.495102
ladybug-598,1,181401.1960735181,4.624909
ladybug-598,2,181399.5107629586,4.963261
ladybug-598,3,181399.1445493234,5.185661
ladybug-810,1,225832.8046129689,5.508831
ladybug-810,2,225837.1418896768,5.690316
ladybug-810,3,225835.5785344948,5.940494
trafalgar-126,1,104024.3456935854,3.370331
trafalgar-126,2,104040.9738549064,3.493512
trafalgar-126,3,104032.5816434143,3.424669
trafalgar-257,1,115841.1634776547,4.706399
trafalgar-257,2,115824.2005229465,4.774582
trafalgar-257,3,115838.5586976370,5.040402
venice-1672,1,2332281.9470402985,102.298253
venice-1672,2,2264981.4998258520,191.176389
venice-1672,3,2302882.7422259012,123.338820
venice-1778,1,2025999.1128821168,63.169743
venice-1778,2,2021699.7372400400,64.980525
venice-1778,3,2031959.3991704076,64.239565
venice-52,1,263038.2339511320,7.809778
venice-52,2,263727.0957807923,7.423621
venice-52,3,261052.5381186500,8.404517
venice-89,1,304963.0091379597,10.673476
venice-89,2,305185.2009111856,9.299827
venice-89,3,305044.6639637921,9.592653
done -> repro_codex.csv
